sample,mean,mean_uncertainty,median,percentile_16,percentile_84
0,-0.063804713804713808,0.092441291582346541,0,-3,4
1,-0.043013468013468011,0.089492815533951775,0,-3,4
2,-0.042424242424242427,0.086533247013073272,0,-3,4
3,-0.028914141414141413,0.083651161979576866,0,-3,4
4,-0.037037037037037035,0.080713495033976276,0,-3,4
5,-0.016414141414141416,0.077950411242353329,0,-3,4
6,-0.01047979797979798,0.075258774150291585,0,-3,3.5
7,0.013383838383838383,0.072774320774571563,0,-3,3
8,0.026010101010101011,0.070276885921180157,0,-3,3
9,0.058712121212121215,0.067905502491973552,0,-3,3
10,0.042971380471380473,0.0655476846239888,0,-3,3
11,0.046085858585858584,0.063175382559092511,0,-2.5,3
12,0.041540404040404037,0.060744217277138933,0,-2.5,3
13,0.050420875420875422,0.058199204619760372,0,-2.5,3
14,0.045580808080808083,0.055607504702999223,0,-2.5,3
15,0.037415824915824916,0.052968244365377122,0,-2.5,3
16,0.039646464646464645,0.049950606627874032,0,-2,3
17,0.025042087542087543,0.046544703444018017,0,-2,3
18,0.027609427609427608,0.042553229877375164,0,-2,3
19,0.049831649831649831,0.03803406189880882,0,-2,3
20,0.055723905723905724,0.033171454982107711,0,-2,3
21,0.07053872053872054,0.028075435142833036,0,-2,2.5
22,0.07125420875420875,0.023429662906898605,0,-2,2
23,0.066287878787878785,0.01989997644667808,0,-2,2
24,0.083249158249158253,0.017854987218786294,0,-2,2
25,0.078198653198653198,0.017844635063853569,0,-2,2
26,0.078535353535353541,0.019557648392459586,0,-2,2
27,0.11675084175084174,0.022257144317291467,0,-2,2
28,0.1433922558922559,0.025682856033849673,0,-2,2
29,0.14802188552188553,0.029489466716813864,0,-2,2.5
30,0.16856060606060605,0.033561263627111849,0,-2.5,2.5
31,0.17251683501683501,0.037793787709814307,0,-2.5,2.5
32,0.17592592592592593,0.041966840307477181,0,-3,2.5
33,0.18164983164983164,0.046237064094949244,0,-3,2.5
34,0.20134680134680136,0.050470935467265894,0,-3,2.5
35,0.23097643097643097,0.054762793024982236,0,-3,2.5
36,0.25572390572390574,0.059276813681017892,0,-3,3
37,0.28564814814814815,0.063788456734737778,0,-3,3
38,0.29116161616161618,0.068277727331356078,0,-3,3
39,0.3248316498316498,0.072746032959448884,0,-3,3
40,0.35808080808080806,0.077009672019851941,0,-3,3
41,0.38867845117845118,0.081333918984692027,0,-3,3
42,0.43308080808080807,0.085618431168735923,0,-3,3
43,0.45058922558922559,0.089897886584643941,0,-3,3
44,0.48425925925925928,0.0945063768907905,0,-3,3
45,0.5356481481481481,0.099797855608406386,0,-3.5,3
46,0.59696969696969693,0.10587579366557455,0,-3.5,3
47,0.68051346801346801,0.11351173115541856,0,-4,3
48,0.7872474747474747,0.12335609508235264,0,-4,3
