sample,mean,mean_uncertainty,median,percentile_16,percentile_84
0,0.33730113956899471,0.092168835845180791,0,-3,4
1,0.34565045695588403,0.088761358504937202,0,-3,4
2,0.34553762834254764,0.086074900456529269,0,-3,4
3,0.39958253413065553,0.083475247966382962,0,-3,3.5
4,0.42147128511790588,0.080685519047209955,0,-3,3.5
5,0.43455940426492157,0.078494920093807152,0,-2.5,3.5
6,0.44279589303847455,0.075922220950307373,0,-2.5,3.5
7,0.42812817330475006,0.072810193667721665,0,-2.5,3
8,0.44798600925194632,0.069675167533609694,0,-2,3
9,0.46885930271916959,0.066949843961834177,0,-2,3
10,0.48961976757305653,0.064684421484518459,0,-2,3
11,0.48285005077287602,0.06280722656246826,0,-2,3
12,0.47303396141261422,0.061197874661246258,0,-2,3
13,0.46208958591898908,0.059471394751603811,0,-2,3
14,0.46682838767911544,0.058190667831081608,0,-2,3
15,0.4646846440257249,0.05672014133921157,0,-2,3
16,0.45475572605212683,0.05497974603305112,0,-2,3
17,0.43376960397156716,0.052610707772779042,0,-2,3
18,0.39224867426379328,0.050471629412592756,0,-2,3
19,0.36957012298318853,0.048717111192778897,0,-2,3
20,0.39213584565045695,0.046424482096673728,0,-2,3
21,0.37667832562337811,0.044026281354786832,0,-2,2.5
22,0.36810335100981612,0.041465022190249473,0,-2,2.5
23,0.38672007221031252,0.039999764040911524,0,-2,2
24,0.36449283538305316,0.039227767457042567,0,-2,2
25,0.36810335100981612,0.039126627262061064,0,-2,2
26,0.38186844183684981,0.039953751768649438,0,-2,2
27,0.34158862687577568,0.041901158240361086,0,-2,2
28,0.37949904095678666,0.044865464305131893,0,-2,2
29,0.40827033735755386,0.04816770811409065,0,-2,2
30,0.4290308022114408,0.051882237510203377,0,-2,2
31,0.42609725826469591,0.055442875921760969,0,-2,2
32,0.45283763962540902,0.05839662970916968,0,-2,2
33,0.44144194967843847,0.061812779939210943,0,-2,2
34,0.46412050095904323,0.064798436735514497,0,-2.5,2
35,0.43952386325172066,0.067211212492473166,0,-2.5,2
36,0.43670314791831211,0.069468968726410077,0,-3,2.5
37,0.41436308247771636,0.070604544168803129,0,-3,2
38,0.40048516303734627,0.072666315885957428,0,-3,2
39,0.371036894956561,0.074262913431982394,0,-3,2
40,0.3646056639963895,0.075704032917154815,0,-3,2.5
41,0.36043100530294481,0.076785496808314299,0,-3,2.5
42,0.35298431682274622,0.078127361429368866,0,-3,2.5
43,0.34147579826243935,0.079539838867359727,0,-3,2.5
44,0.32590544962202417,0.081481690218107555,0,-3,2.5
45,0.33177253751551394,0.083452713325344846,0,-3,2.5
46,0.33323930948888636,0.086183031066029162,0,-3,3
47,0.3807401557034864,0.090083269713100919,0,-3,3
48,0.38367369965023129,0.09641883101358513,0,-3,3
49,0.39461807514385649,0.10382130756376427,0,-3.5,3
50,0.46716687351912445,0.11132049623886686,-0.5,-3.5,3
51,0.49954868554665466,0.11975760037242414,-0.5,-4,3
52,0.56340968069502428,0.12879858881646949,-0.5,-4,3
53,0.62557824664334871,0.13927990438857918,-0.5,-4,3
54,0.66879160555116779,0.14986056952643703,-0.5,-4,3
55,0.76582421302042203,0.16005852441359439,-0.5,-4,3.5
56,0.86139004851630374,0.17022838434395732,-0.5,-4,4
57,0.96981834593252847,0.18122218612345273,-0.5,-4,4
58,1.1236037459099628,0.19556007148437457,-0.5,-4,4
59,1.2811124901274964,0.21244063496044488,-0.5,-4,4
60,1.4738237617059686,0.23111450372488745,-0.5,-4,4
61,1.696885930271917,0.25073249899092387,0,-4,4
62,2.0322125691075255,0.27187196708343386,0,-4,4.5
63,3.1213471736432359,0.30027954774637955,0,-4,6
64,7.5617172514949793,0.36173345207865876,1,-3,13
65,23.350276430102674,0.53751241742923594,8,-1,44
66,68.708394448832223,0.87183566322352501,45,11,126
67,172.51399074805371,1.2970756038538453,150,73,265
68,347.57063071194852,2.0049449053456887,311,204,471
69,567.27197337244729,3.3212845715178512,479.5,350,762
70,787.66687351912447,4.9927594293081459,629,468,1084
71,979.21149723569897,6.5949742214604354,757,559,1369.54
72,1134.3123660160218,7.9479135345465943,860,628,1593.1199999999999
73,1256.0225093083607,9.0477630553989457,938,682,1774
74,1347.2775019745006,9.9190002123581049,996,721,1913
75,1409.1500056414307,10.55734837283077,1039,747.96000000000004,2006.7799999999997
76,1442.8571025612096,10.952801174045234,1059,760.46000000000004,2056.0799999999999
77,1451.400372334424,11.113255355818023,1063,761,2068.54
78,1439.0748617849486,11.069698544928453,1053,752,2055
79,1410.5060927451202,10.861924499368989,1032,738,2014
80,1369.8801195983301,10.527687594606769,1004,717.96000000000004,1955
81,1321.0155139343337,10.101503013557231,970,695.96000000000004,1880.54
82,1267.4358005190115,9.6192956960317773,932,671,1799.0799999999999
83,1212.1261988040167,9.1119761599979707,896,646.46000000000004,1715
84,1157.3764526683967,8.6036567217464643,858.5,621,1631.0799999999999
85,1105.2469254202865,8.1090881651922686,823.5,599,1555
86,1058.103858738576,7.6411674031719485,793.5,580,1486.0799999999999
87,1019.1519237278574,7.2284559054071069,771,565,1429
88,990.59691977885586,6.9119842653049473,756,554.5,1384.54
89,970.88835608710372,6.6979473154955409,743.5,546,1354
90,955.7538643800068,6.5512779829857246,733,539,1330.54
91,941.47269547557255,6.4319336541831014,724,531.46000000000004,1310.04
92,926.01754484937385,6.3147065814554812,713,524,1287.0799999999999
93,908.66066794539097,6.1853682800836243,700,515,1262
94,889.67826920907146,6.0452727458732225,687,505,1233.54
95,869.14571815412387,5.8934805413884828,671.5,495,1206
96,847.03209974049423,5.7277306167898923,655,484,1172.5
97,823.77496333070064,5.5491389570806993,639,472,1141.04
98,799.86454924968973,5.3626908541694167,623,460.46000000000004,1106.5
99,775.80339614126137,5.1723564275274159,607,449,1069.0799999999999
100,751.92355861446458,4.9815343286849103,590,436.5,1034.04
101,728.73569897325967,4.7941495786456452,575,425,1000
102,706.70388130429876,4.6148234900092104,559,414,967.53999999999996
103,686.02487870924062,4.4459109751329411,545,403.96000000000004,937
104,666.87177028094322,4.2900670979347755,532,394,908.53999999999996
105,649.32556696378197,4.1480799952169258,520,385,883
106,633.46570010154574,4.0189412305564307,509,377,859.53999999999996
107,619.33741396818232,3.9042405802354496,499,369.5,841.07999999999993
108,607.08287261649559,3.8059776843550739,490.5,363,824
109,596.35557937492945,3.7231619831911491,483,357,810
110,586.65965248787097,3.6508505043068378,475.5,352,798
111,577.53655647072094,3.5845289470937272,468.5,347,785
112,568.52583775245398,3.5218283384957174,462,342,771.53999999999996
113,559.34959945842263,3.4590213174556235,455,336.5,759.03999999999996
114,549.81874083267519,3.3942276076882201,448,331,746
115,540.07305652713524,3.3278168736934557,441,326,732
116,530.18577231185827,3.2602647662662543,434,320,717
117,520.05850163601485,3.1918655973289338,427,314.5,703
118,509.76548572718042,3.1207920667245923,419.5,308,689
119,499.38028884125015,3.0479873651475069,412,302,675
120,489.15372898567074,2.9758105238170867,405,296,661
121,479.08817556132237,2.9045989775505863,397.5,290,647.53999999999996
122,469.22808304185941,2.8349165021360028,390,284,634
123,459.65841137312424,2.7668207550642689,383,278.46000000000004,621
124,450.35761028996956,2.701271037556733,376,273,607
125,441.37961186957011,2.6388965280838033,370,268,594
126,432.71347173643238,2.5790306954964586,363,263,581
127,424.39224867426378,2.5221144496883805,357,258,571
128,416.3730678099966,2.4672903081645021,351,253,559
129,408.64961074128399,2.4156491914167124,345,248,548.53999999999996
130,401.162868103351,2.3669818193890939,339,243.5,538
131,393.86556470720973,2.320180117981169,333,239,529
132,386.73705291661963,2.2747822180782862,327,235,518
133,379.71358456504572,2.2304696031473359,322,231,507
134,372.69282410019179,2.1871126453568865,316,227,497.53999999999996
135,365.74370980480649,2.1440102221672732,311,222.5,488
136,358.9285230734514,2.101417153282878,305.5,218,477.53999999999996
137,352.15598555793747,2.0594658843269831,300,214.46000000000004,468
138,345.42790251607806,2.0179372866379346,295,210.5,459
139,338.83893715446237,1.9768579203471131,290,206,449.53999999999996
140,332.43715446237167,1.936704968908447,285,203,442
141,326.1382714656437,1.8978499959116153,279,199,433.5
142,319.97579826243935,1.8601642042456428,274,194.5,426
143,313.98775809545299,1.823661288808766,269,190.5,418
144,308.12608597540338,1.788091328357718,264,187,410.03999999999996
145,302.45983301365226,1.7537254720891193,260,184,403
146,296.98662980931965,1.7204631586149988,256,180,397
147,291.68673135507163,1.6885803562164019,251,177,389
148,286.53204332618753,1.6575823741691265,247.5,173.5,382
149,281.52933543946745,1.6273745160410646,243.5,170.5,376
150,276.63855353717702,1.5982787106817014,239.5,167.46000000000004,369
151,271.90516755049083,1.573483493382607,236,164,363.5
152,267.3314340516755,1.5540721872489447,232,161.5,357
153,262.79628793862122,1.538823142288291,228,159,350
154,258.29837526796797,1.5253609532657011,224,156,344
155,253.9085524088909,1.5130257509409801,221,153,338
156,249.57435405618864,1.4993601873578288,217,150,333
157,245.30311406972808,1.4842496234086022,213,147,328
158,241.11852645830982,1.4669111078494939,210,144,322
159,236.92920004513144,1.446954195591915,206,141.5,316.53999999999996
160,232.82336680582196,1.4245977348799082,203,139,311
161,228.80046259731469,1.4007899657744982,200,136,306
162,224.81355071646169,1.376166134341875,197,133.5,301
163,220.92807175899807,1.3511340281528479,194,131.5,296
164,217.08670878934899,1.3261615696117532,190,129,291
165,213.2559517093535,1.3012410085733486,187,127,286
166,209.562394223175,1.2767366428719022,184,124.5,281
167,205.93743653390499,1.252862530612574,181,122,277
168,202.35930271916959,1.2300570102542752,178,119.96000000000004,272
169,198.88508405731693,1.2082230680403956,175,117,268
170,195.45012975290533,1.1871687599589056,172,115,264
171,192.06087103689495,1.1674597127083315,169,113,260
