sample,mean,mean_uncertainty,median,percentile_16,percentile_84
0,0.087662041263465398,0.086114090279279215,0,-3,4
1,0.11002830016432354,0.082805549500571798,0,-3,4
2,0.15042450246485303,0.079788936359913021,0,-3,4
3,0.15585630819791857,0.076776573426738229,0,-3,4
4,0.15279806463392367,0.073726291971889915,0,-3,3.5
5,0.16457458462662042,0.071024714466331157,0,-3,3.5
6,0.16393554865802445,0.068580570996176579,0,-3,3.5
7,0.16498539346357494,0.06640409512738886,0,-3,3
8,0.15667792587182763,0.064237839343427375,0,-3,3
9,0.15010498448055504,0.062257693432810055,0,-3,3
10,0.15503469052400951,0.060298512273723195,0,-2.5,3
11,0.14494705130545918,0.058099400766802117,0,-2.5,3
12,0.13207504108088369,0.055540612596407322,0,-2.5,3
13,0.12604984480555048,0.052654900832650668,0,-2.5,3
14,0.12034416651451525,0.049690388828392329,0,-2,3
15,0.10185776885156107,0.04644904288244002,0,-2,3
16,0.092911265291217821,0.043256191678000239,0,-2,3
17,0.084923315683768485,0.039934196847767209,0,-2,3
18,0.084603797699470518,0.03641482396251583,0,-2,3
19,0.1005340514880409,0.032900681797272076,0,-2,3
20,0.11089556326456089,0.029286676803330029,0,-2,2.5
21,0.096289026839510683,0.025870641829403331,0,-2,2.5
22,0.10756344714259632,0.022534925643573303,0,-2,2
23,0.11176282636479824,0.020186249249541526,0,-2,2
24,0.12431531860507578,0.01881729224486034,0,-2,2
25,0.1305687420120504,0.018851038485696615,0,-2,2
26,0.12253514697827278,0.020448104826092769,0,-2,2
27,0.11221928062808106,0.022942895667553503,0,-2,2
28,0.11454719737082344,0.026048691812661805,0,-2,2
29,0.090811575680116857,0.029490429850319366,0,-2.5,2
30,0.11025652729596494,0.033004224950781598,0,-2.5,2
31,0.11783366806645974,0.036475157349536796,0,-2.5,2
32,0.11482106992879314,0.040153883318588018,0,-3,2.5
33,0.091770129633010775,0.043411680981858942,0,-3,2.5
34,0.073283731970056595,0.046608410151018978,0,-3,2.5
35,0.088894467774329008,0.049642084521756842,0,-3,2.5
36,0.086475260178930077,0.052797129420772589,0,-3,2.5
37,0.077756983750228229,0.056188981387126954,0,-3,2.5
38,0.10993700931166697,0.059517751617521437,0,-3,2.5
39,0.12276337410991418,0.063427275749211476,0,-3,3
