event,channel,waveform_index_save,dt_ns_coinc,dt_ns_save,channel_coincident_left,waveform_index_coincident_left,channel_coincident_right,waveform_index_coincident_right
11,2080,403,32,16,2031,232,2060,191
11,2080,406,16,-16,2030,157,2060,193
11,2080,411,16,-32,2031,238,2060,198
11,2080,413,64,96,2030,161,2060,200
11,2080,415,80,0,2031,242,2060,204
11,2081,102,16,-48,2031,219,2061,503
11,2081,104,32,-32,2031,223,2061,504
11,2081,108,112,-16,2031,227,2060,185
11,2081,109,32,0,2031,229,2060,186
11,2081,116,32,0,2031,232,2060,191
11,2081,120,16,-32,2030,157,2060,193
11,2081,125,64,112,2030,161,2060,200
11,2081,127,80,0,2031,242,2060,204
12,2080,448,32,-16,2030,128,2060,201
12,2080,451,48,-16,2030,141,2060,208
12,2080,458,80,16,2030,145,2060,218
12,2081,378,32,-16,2030,128,2060,201
12,2081,382,80,-16,2031,178,2060,208
12,2081,387,80,0,2030,145,2060,218
13,2080,238,48,0,2031,370,2060,337
13,2080,240,48,0,2031,376,2061,124
13,2080,241,0,0,2031,380,2060,344
13,2080,248,32,-16,2030,438,2060,347
13,2080,249,48,0,2031,389,2060,349
13,2080,251,48,-64,2030,448,2060,352
13,2080,252,48,-32,2030,451,2060,354
13,2080,256,80,0,2030,454,2061,136
13,2080,257,64,0,2030,455,2061,139
13,2081,550,48,0,2031,370,2060,337
13,2081,552,48,0,2031,376,2061,124
13,2081,554,16,-16,2030,430,2060,344
13,2081,561,32,-16,2030,438,2060,347
13,2081,562,48,-16,2031,389,2060,349
13,2081,563,48,-64,2030,448,2060,352
13,2081,564,48,-32,2030,451,2060,354
13,2081,568,80,0,2030,454,2061,136
13,2081,569,64,0,2030,455,2061,139
14,2080,378,32,-32,2030,51,2060,137
14,2080,379,32,16,2030,53,2060,139
14,2080,380,48,-32,2031,94,2060,142
14,2080,381,32,-16,2031,95,2061,180
14,2080,393,32,-32,2031,111,2061,190
14,2080,399,16,-64,2031,115,2060,157
14,2080,407,32,-32,2031,131,2060,171
14,2081,209,32,-64,2030,51,2060,137
14,2081,210,48,0,2031,92,2060,139
14,2081,211,48,-32,2031,94,2060,142
14,2081,212,32,-64,2031,95,2061,180
14,2081,220,32,-16,2031,111,2061,190
14,2081,225,16,-64,2031,115,2060,157
14,2081,232,32,-16,2031,131,2060,171
15,2080,207,48,-16,2030,301,2060,345
15,2080,209,-16,-80,2030,305,2060,348
15,2080,214,-80,128,2030,314,2060,354
15,2080,224,48,-16,2030,327,2060,363
15,2080,227,16,-64,2030,330,2060,366
15,2080,228,48,0,2030,334,2061,112
15,2080,230,64,16,2031,415,2060,370
15,2080,236,32,-16,2030,338,2060,375
15,2080,241,32,0,2030,344,2060,377
15,2081,265,48,-16,2030,301,2060,345
15,2081,267,-16,-48,2030,305,2060,348
15,2081,272,-80,144,2030,314,2060,354
15,2081,282,48,-32,2030,327,2060,363
15,2081,285,16,-64,2030,330,2060,366
15,2081,286,48,-32,2030,334,2061,112
15,2081,288,64,0,2031,415,2060,370
15,2081,294,0,-16,2031,418,2060,375
15,2081,300,32,-16,2030,344,2060,377
16,2080,487,32,-16,2030,152,2060,229
16,2080,506,0,-80,2031,214,2060,245
16,2080,513,64,-16,2031,223,2060,255
16,2081,554,32,-32,2030,152,2060,229
16,2081,570,0,-64,2031,214,2060,245
16,2081,576,64,0,2031,223,2060,255
17,2080,352,96,0,2030,500,2060,204
17,2080,353,80,16,2030,501,2060,206
17,2080,356,48,0,2031,260,2060,211
17,2080,358,32,16,2030,512,2060,214
17,2080,367,64,0,2031,278,2060,224
17,2080,381,64,16,2031,289,2060,236
17,2081,461,96,-16,2030,500,2060,204
17,2081,462,32,-16,2031,252,2060,206
17,2081,465,48,0,2031,260,2060,211
17,2081,467,32,-16,2030,512,2060,214
17,2081,476,64,-16,2031,278,2060,224
17,2081,488,64,-16,2031,289,2060,236
18,2080,463,32,0,2030,306,2060,227
18,2080,479,16,0,2031,207,2060,245
18,2080,480,64,-16,2031,209,2060,247
18,2080,481,32,-32,2031,210,2060,248
18,2080,484,-32,-64,2030,334,2061,537
18,2081,96,32,-64,2030,306,2060,227
18,2081,109,32,0,2030,327,2060,245
18,2081,110,64,0,2031,209,2060,247
18,2081,111,32,-32,2031,210,2060,248
19,2080,207,48,0,2031,330,2060,297
19,2080,214,80,48,2030,481,2060,308
