event,channel,waveform_index_save,dt_ns_coinc,dt_ns_save,channel_coincident_left,waveform_index_coincident_left,channel_coincident_right,waveform_index_coincident_right
4,1020,1306,16,64,2031,285,2061,109
4,1020,1310,64,80,2030,392,2060,247
4,1020,1311,48,64,2031,290,2060,248
4,1020,1316,48,64,2031,300,2060,252
4,1020,1319,16,64,2030,405,2060,255
4,1020,1325,64,80,2030,409,2060,257
4,1020,1332,48,64,2030,414,2060,261
4,1020,1347,0,32,2031,328,2060,274
4,1021,976,64,-48,2030,387,2061,105
4,1021,982,16,64,2031,285,2061,109
4,1021,988,64,64,2030,392,2060,247
4,1021,989,48,64,2031,290,2060,248
4,1021,995,48,80,2031,300,2060,252
4,1021,1004,64,80,2030,409,2060,257
4,1021,1013,48,80,2030,414,2060,261
4,1021,1028,0,48,2031,328,2060,274
4,1040,772,32,32,2031,280,2060,235
4,1040,780,16,80,2031,285,2061,109
4,1040,783,64,64,2030,392,2060,247
4,1040,784,48,48,2031,290,2060,248
4,1040,792,48,64,2031,300,2060,252
4,1040,797,16,48,2030,405,2060,255
4,1040,801,64,64,2030,409,2060,257
4,1040,807,48,-128,2030,414,2060,261
4,1040,821,0,32,2031,328,2060,274
4,1041,551,32,64,2031,280,2060,235
4,1041,559,16,64,2031,285,2061,109
4,1041,563,64,80,2030,392,2060,247
4,1041,564,48,48,2031,290,2060,248
4,1041,572,48,48,2031,300,2060,252
4,1041,581,64,96,2030,409,2060,257
4,1041,587,48,-128,2030,414,2060,261
4,1041,600,0,0,2031,328,2060,274
4,1060,926,32,32,2031,280,2060,235
4,1060,934,16,48,2031,285,2061,109
4,1060,942,48,48,2031,300,2060,252
4,1060,943,16,32,2030,405,2060,255
4,1060,949,48,48,2030,414,2060,261
4,1060,950,16,16,2030,415,2060,262
4,1060,964,64,80,2031,324,2060,270
4,1060,968,16,16,2031,329,2060,278
4,1061,1262,48,32,2031,300,2060,252
4,1061,1273,48,32,2030,414,2060,261
4,1061,1274,16,16,2030,415,2060,262
4,1061,1287,64,80,2031,324,2060,270
4,1061,1292,16,0,2031,329,2060,278
4,1080,1031,32,48,2031,280,2060,235
4,1080,1040,64,48,2030,392,2060,247
4,1080,1041,48,32,2031,290,2060,248
4,1080,1049,48,16,2031,300,2060,252
4,1080,1073,64,64,2031,324,2060,270
4,1080,1077,0,64,2031,328,2060,274
4,1080,1078,16,32,2031,329,2060,278
4,1081,1142,32,48,2031,280,2060,235
4,1081,1151,64,48,2030,392,2060,247
4,1081,1153,48,32,2031,290,2060,248
4,1081,1159,48,48,2031,300,2060,252
4,1081,1183,64,80,2031,324,2060,270
4,1081,1187,0,48,2031,328,2060,274
4,1081,1188,16,32,2031,329,2060,278
4,2011,519,32,48,2031,280,2060,235
4,2011,536,16,32,2031,329,2060,278
4,2080,141,48,-16,2030,386,2060,235
4,2080,144,48,80,2031,281,2061,105
4,2080,146,16,16,2031,285,2061,109
4,2080,151,48,0,2031,290,2060,248
4,2080,156,16,-16,2030,405,2060,255
4,2080,159,64,16,2030,409,2060,257
4,2080,163,48,16,2030,414,2060,261
4,2080,165,32,-32,2031,314,2060,262
4,2080,174,0,-32,2031,328,2060,274
4,2081,433,48,-16,2030,386,2060,235
4,2081,436,48,80,2031,281,2061,105
4,2081,441,48,-16,2031,290,2060,248
4,2081,447,16,-32,2030,405,2060,255
4,2081,450,64,-16,2030,409,2060,257
4,2081,453,32,-32,2031,314,2060,262
4,2081,454,48,16,2030,414,2060,261
4,2081,464,0,-48,2031,328,2060,274
