event,channel,waveform_index_save,dt_ns_coinc,dt_ns_save,channel_coincident_left,waveform_index_coincident_left,channel_coincident_right,waveform_index_coincident_right
8,1080,938,80,80,2080,458,2010,523
8,1081,585,0,16,2081,102,2010,512
8,1081,603,80,64,2080,458,2010,523
8,2030,485,80,176,2080,458,2010,523
8,2050,354,48,0,2080,444,2010,512
8,2050,371,80,16,2080,458,2010,523
8,2051,393,48,-16,2080,444,2010,512
8,2051,408,80,32,2080,458,2010,523
8,2060,285,0,-16,2081,102,2010,512
8,2060,299,80,80,2080,458,2010,523
8,2061,322,0,0,2081,102,2010,512
8,2061,334,80,80,2080,458,2010,523
9,1020,1218,160,144,2081,298,2010,149
9,1020,1246,-16,16,2081,313,2010,161
9,1021,1373,-16,16,2081,313,2010,161
9,1040,731,160,160,2081,298,2010,149
9,1040,759,80,64,2080,472,2010,160
9,1040,761,-16,16,2081,313,2010,161
9,1041,25,160,160,2081,298,2010,149
9,1041,54,80,64,2080,472,2010,160
9,1041,56,-16,16,2081,313,2010,161
9,1060,1451,48,64,2080,447,2010,142
9,1060,1467,-48,0,2071,638,2010,148
9,1060,1499,80,80,2080,472,2010,160
9,1061,918,48,48,2080,447,2010,142
9,1061,943,160,80,2081,298,2010,149
9,1061,975,80,80,2080,472,2010,160
9,1080,1255,48,48,2080,447,2010,142
9,1080,1271,-48,0,2071,638,2010,148
9,1080,1277,160,160,2081,298,2010,149
9,1080,1305,80,48,2080,472,2010,160
9,1080,1308,-16,112,2081,313,2010,161
9,1081,1509,48,48,2080,447,2010,142
9,1081,1523,-48,0,2071,638,2010,148
9,1081,1529,160,128,2081,298,2010,149
9,1081,1559,80,48,2080,472,2010,160
9,1081,1561,-16,128,2081,313,2010,161
9,2030,172,-48,16,2071,638,2010,148
9,2031,560,48,16,2080,454,2010,148
9,2031,584,80,0,2080,472,2010,160
9,2031,587,-16,112,2081,313,2010,161
9,2040,365,48,0,2080,454,2010,148
9,2040,387,80,0,2080,472,2010,160
9,2040,389,-16,64,2081,313,2010,161
9,2041,210,-48,0,2071,638,2010,148
9,2041,233,80,-32,2080,472,2010,160
9,2041,236,-16,80,2081,313,2010,161
9,2050,398,48,-48,2080,447,2010,142
9,2050,415,64,-32,2081,294,2010,148
9,2050,438,80,0,2080,472,2010,160
9,2050,440,-16,-80,2081,313,2010,161
9,2051,244,48,-16,2080,447,2010,142
9,2051,258,64,-48,2081,294,2010,148
9,2051,280,80,32,2080,472,2010,160
9,2051,282,-16,-96,2081,313,2010,161
9,2060,503,48,48,2080,447,2010,142
9,2060,519,48,16,2080,454,2010,148
9,2060,545,80,48,2080,472,2010,160
9,2061,595,48,64,2080,447,2010,142
9,2061,609,64,0,2081,294,2010,148
9,2061,633,80,64,2080,472,2010,160
10,1020,625,112,-144,2080,321,2010,121
10,1021,1271,112,-144,2080,321,2010,121
10,1040,902,64,64,2080,303,2010,112
10,1040,926,16,-16,2071,529,2010,121
10,1041,985,16,-32,2071,529,2010,121
10,1060,724,64,64,2080,303,2010,112
10,1061,839,64,64,2080,303,2010,112
10,1080,1299,64,64,2080,303,2010,112
10,1080,1321,16,-32,2071,529,2010,121
10,1081,69,64,48,2080,303,2010,112
10,1081,91,16,-32,2071,529,2010,121
10,2030,338,64,112,2080,303,2010,112
10,2031,399,112,32,2080,321,2010,121
10,2040,185,64,48,2080,303,2010,112
10,2040,207,112,16,2080,321,2010,121
10,2041,457,64,64,2080,303,2010,112
10,2041,479,112,32,2080,321,2010,121
10,2050,234,64,-48,2080,303,2010,112
10,2050,248,16,16,2071,529,2010,121
10,2051,263,64,0,2080,303,2010,112
10,2060,429,64,48,2080,303,2010,112
10,2061,132,64,48,2080,303,2010,112
10,2061,144,16,48,2071,529,2010,121
12,1020,724,32,64,2080,330,2010,416
12,1040,1064,-16,0,2071,448,2010,395
12,1040,1101,32,48,2080,330,2010,416
12,1040,1104,48,48,2081,164,2010,418
12,1041,972,-16,-16,2071,448,2010,395
12,1041,1008,32,64,2080,330,2010,416
12,1041,1012,48,16,2081,164,2010,418
12,1060,555,32,32,2080,330,2010,416
12,1060,563,48,0,2081,164,2010,418
12,1060,567,-48,16,2070,285,2010,420
12,1061,676,32,48,2080,330,2010,416
12,1061,683,48,16,2081,164,2010,418
12,1080,885,32,80,2080,330,2010,416
12,1080,890,48,16,2081,164,2010,418
12,1081,1053,32,64,2080,330,2010,416
12,1081,1057,48,32,2081,164,2010,418
12,2030,446,48,0,2081,169,2010,420
12,2031,206,-48,-16,2070,285,2010,420
12,2040,275,48,16,2081,164,2010,418
12,2040,279,-48,0,2070,285,2010,420
12,2050,361,48,-16,2080,315,2010,395
12,2050,388,64,-16,2080,333,2010,418
