channel	target_frequency_khz	threshold_adc
1010	5.544	-3161
1011	4.848	610.8
1020	4.997	588.3
1021	5.709	-2634
1030	6.706	-3183
1031	6.954	-2854
1040	5.376	651.6
1041	5.759	-2847
1050	7.389	-2338
1051	7.18	-1792
1060	5.191	-2773
1061	5.849	-3410
1070	6.635	-2945
1071	6.757	-2984
1080	5.063	617.3
1081	5.095	-2520
2010	2.121	590.9
2011	2.257	595.1
2021	1.971	563
2040	4.576	573.8
2050	3.658	574.6
2051	3.061	592.5
2060	3.642	633.5
2061	3.001	662.8
2070	1.077	-22.92
2071	1.06	-25.12
2080	3.273	579.5
2081	3.201	582.5
