channel	target_frequency_khz	threshold_adc
1010	5.544	-2896
1011	4.848	582.6
1020	4.997	685.3
1021	5.709	-2635
1030	6.706	-2949
1031	6.954	-2667
1040	5.376	680.8
1041	5.759	-2748
1050	7.389	-2466
1051	7.18	-1995
1060	5.191	657.8
1061	5.849	-2990
1070	6.635	-3025
1071	6.757	-3156
1080	5.063	633.1
1081	5.095	662
2010	2.121	629.1
2011	2.257	631.8
2021	1.971	606
2040	4.576	608
2050	3.658	603
2051	3.061	622.6
2060	3.642	658.8
2061	3.001	689.6
2070	1.077	674.4
2071	1.06	662.2
2080	3.273	611.4
2081	3.201	614
