channel	target_frequency_khz	threshold_adc
1010	5.544	-3015
1011	4.848	-2792
1020	4.997	-2807
1021	5.709	-2796
1030	6.706	-2920
1031	6.954	-2815
1040	5.376	-2920
1041	5.759	-2760
1050	7.389	-2583
1051	7.18	-2017
1060	5.191	-2582
1061	5.849	-2927
1070	6.635	-3012
1071	6.757	-2998
1080	5.063	-2893
1081	5.095	-2734
2010	2.121	-2744
2011	2.257	-2476
2021	1.971	-2513
2040	4.576	-2294
2050	3.658	-2377
2051	3.061	371.8
2060	3.642	-3921
2061	3.001	588.9
2070	1.077	-23.4
2071	1.06	-18.42
2080	3.273	32.36
2081	3.201	36.06
