channel	target_frequency_khz	threshold_adc
1010	5.5443632954167406	-505.20000000000073
1011	4.8478764993396348	-342.68000000000029
1020	4.9969692664034104	-821.34000000000015
1021	5.7094735635872569	-19.300000000000182
1030	6.7057159547242176	-654.89999999999964
1031	6.9544136583660263	-627.65999999999985
1040	5.3756999277424677	-342
1041	5.7593845836330919	-752.02000000000044
1050	7.3885198851915801	-174.55999999999949
1051	7.1798200232246412	-256.86000000000058
1060	5.1910792826693681	-81.159999999999854
1061	5.848817712961611	-52.100000000000364
1070	6.634993534462974	-244.02000000000044
1071	6.7565115261472988	-122.47999999999956
1080	5.0630934372828822	-45.239999999999782
1081	5.0952342293269712	-123.05999999999949
2010	2.1207436009064344	-98.860000000000582
2011	2.2569910400074802	5.819999999999709
2021	1.9714986886974828	-1619.1799999999998
2040	4.5759827675382327	-319.16000000000008
2050	3.6582893133415837	-80.260000000000218
2051	3.0605934609815351	-357.92000000000007
2060	3.6416298160383924	-129.52000000000044
2061	3.0009840651167372	-156.76000000000022
2070	1.0770431533129821	381.15999999999985
2071	1.0604834233776199	18.119999999999891
2080	3.2734709686971555	-79.100000000000364
2081	3.2013582266882157	-76.239999999999782
