channel	target_frequency_khz	threshold_adc
1010	5.544	-2798
1011	4.848	-2819
1020	4.997	-2898
1021	5.709	-2600
1030	6.706	-3031
1031	6.954	-2835
1040	5.376	-2404
1041	5.759	-3173
1050	7.389	-2715
1051	7.18	-1982
1060	5.191	-2825
1061	5.849	-2924
1070	6.635	-2965
1071	6.757	-2887
1080	5.063	-2966
1081	5.095	-2562
2010	2.121	19.94
2011	2.257	17.64
2021	1.971	-2465
2040	4.576	484.3
2050	3.658	561.2
2051	3.061	575.6
2060	3.642	625.9
2061	3.001	650.4
2070	1.077	-9.22
2071	1.06	-8.22
2080	3.273	568.6
2081	3.201	568.9
