channel	target_frequency_khz	threshold_adc
1010	5.544	674.6
1011	4.848	634.5
1020	4.997	655.5
1021	5.709	709.2
1030	6.706	58.76
1031	6.954	-636.8
1040	5.376	657.6
1041	5.759	-2709
1050	7.389	561.4
1051	7.18	696.3
1060	5.191	645.7
1061	5.849	685.1
1070	6.635	688.6
1071	6.757	684.4
1080	5.063	647.4
1081	5.095	663.6
2010	2.121	636.7
2011	2.257	630.9
2021	1.971	615.6
2040	4.576	596.3
2050	3.658	586
2051	3.061	592.5
2060	3.642	657
2061	3.001	669
2070	1.077	690.9
2071	1.06	680
2080	3.273	586.6
2081	3.201	585.8
