channel	target_frequency_khz	threshold_adc
1010	5.544	-3028
1011	4.848	-2618
1020	4.997	-2991
1021	5.709	-2734
1030	6.706	-2882
1031	6.954	-2922
1040	5.376	-2823
1041	5.759	-2813
1050	7.389	-2573
1051	7.18	-1783
1060	5.191	-2742
1061	5.849	-2901
1070	6.635	-2992
1071	6.757	-3042
1080	5.063	-2802
1081	5.095	-2698
2010	2.121	-2703
2011	2.257	-2528
2021	1.971	-2428
2040	4.576	-2429
2050	3.658	-2913
2051	3.061	-13.26
2060	3.642	-2516
2061	3.001	-2623
2070	1.077	-24.7
2071	1.06	-9.8
2080	3.273	-2704
2081	3.201	-2508
