channel	target_frequency_khz	threshold_adc
1010	5.544	568.5
1011	4.848	599.4
1020	4.997	741.4
1021	5.709	-2498
1030	6.706	-2675
1031	6.954	-2594
1040	5.376	46.88
1041	5.759	-2467
1050	7.389	-2624
1051	7.18	-2061
1060	5.191	698.7
1061	5.849	-2876
1070	6.635	-2898
1071	6.757	-2696
1080	5.063	656.4
1081	5.095	676.8
2010	2.121	714.6
2011	2.257	715.7
2021	1.971	683.9
2040	4.576	659.9
2050	3.658	668.3
2051	3.061	697.2
2060	3.642	698.7
2061	3.001	733
2070	1.077	729.9
2071	1.06	721.4
2080	3.273	676.7
2081	3.201	683.2
