channel	target_frequency_khz	threshold_adc
1010	5.544	-2696
1011	4.848	-2726
1020	4.997	-2922
1021	5.709	-2646
1030	6.706	-2962
1031	6.954	-2923
1040	5.376	-2691
1041	5.759	-2984
1050	7.389	-2589
1051	7.18	-2210
1060	5.191	-2865
1061	5.849	-3067
1070	6.635	-2913
1071	6.757	-3036
1080	5.063	-2811
1081	5.095	-2574
2010	2.121	-2769
2011	2.257	-2397
2021	1.971	-2437
2040	4.576	299.4
2050	3.658	562.5
2051	3.061	578.9
2060	3.642	626.4
2061	3.001	651.6
2070	1.077	-13.64
2071	1.06	-10.86
2080	3.273	567.6
2081	3.201	567.2
