channel	target_frequency_khz	threshold_adc
1010	5.544	629.2
1011	4.848	601.2
1020	4.997	734.6
1021	5.709	96.6
1030	6.706	-2760
1031	6.954	-2756
1040	5.376	617
1041	5.759	36.88
1050	7.389	-2490
1051	7.18	-2020
1060	5.191	701.9
1061	5.849	-2698
1070	6.635	-2774
1071	6.757	-2880
1080	5.063	666.4
1081	5.095	667.2
2010	2.121	703.4
2011	2.257	705.6
2021	1.971	679.5
2040	4.576	659.7
2050	3.658	660.9
2051	3.061	682.8
2060	3.642	698.4
2061	3.001	730.1
2070	1.077	725.8
2071	1.06	713.5
2080	3.273	665.8
2081	3.201	668.9
