channel	target_frequency_khz	threshold_adc
1010	5.544	-2763
1011	4.848	-2817
1020	4.997	-3028
1021	5.709	-2555
1030	6.706	-3070
1031	6.954	-2784
1040	5.376	-2709
1041	5.759	-2935
1050	7.389	-2495
1051	7.18	-2011
1060	5.191	-2540
1061	5.849	-3082
1070	6.635	-2858
1071	6.757	-2892
1080	5.063	-2677
1081	5.095	-2670
2010	2.121	-2623
2011	2.257	-2359
2021	1.971	-2480
2040	4.576	17.26
2050	3.658	484
2051	3.061	560.7
2060	3.642	603.3
2061	3.001	629.2
2070	1.077	-11.78
2071	1.06	-18.96
2080	3.273	553.2
2081	3.201	552.9
