channel	target_frequency_khz	threshold_adc
1010	5.544	-2856
1011	4.848	109.9
1020	4.997	649.6
1021	5.709	-2798
1030	6.706	-3005
1031	6.954	-2899
1040	5.376	419.1
1041	5.759	-2970
1050	7.389	-2470
1051	7.18	-2092
1060	5.191	633
1061	5.849	-3103
1070	6.635	-2699
1071	6.757	-2786
1080	5.063	588.9
1081	5.095	19.24
2010	2.121	630.6
2011	2.257	632.2
2021	1.971	609.4
2040	4.576	614.6
2050	3.658	610.3
2051	3.061	627.8
2060	3.642	669.9
2061	3.001	695.4
2070	1.077	675.8
2071	1.06	666.3
2080	3.273	618
2081	3.201	621
