channel	target_frequency_khz	threshold_adc
1010	5.544	-3054
1011	4.848	33.2
1020	4.997	-3079
1021	5.709	-2736
1030	6.706	-3020
1031	6.954	-2858
1040	5.376	656.7
1041	5.759	-2760
1050	7.389	-2380
1051	7.18	-1893
1060	5.191	-2876
1061	5.849	-3113
1070	6.635	-2867
1071	6.757	-2913
1080	5.063	609.9
1081	5.095	-2412
2010	2.121	-2747
2011	2.257	528.4
2021	1.971	-2485
2040	4.576	529.9
2050	3.658	551.1
2051	3.061	577.5
2060	3.642	603.9
2061	3.001	644.3
2070	1.077	-25.22
2071	1.06	-10.24
2080	3.273	565
2081	3.201	567.3
