channel	target_frequency_khz	threshold_adc
1010	5.544	-2722
1011	4.848	-2646
1020	4.997	-2450
1021	5.709	-2879
1030	6.706	-2921
1031	6.954	-2981
1040	5.376	104.4
1041	5.759	-2939
1050	7.389	-2608
1051	7.18	-1936
1060	5.191	-3109
1061	5.849	-2899
1070	6.635	-3193
1071	6.757	-2939
1080	5.063	-2893
1081	5.095	-2823
2010	2.121	-2655
2011	2.257	-2478
2021	1.971	-2547
2040	4.576	414.5
2050	3.658	37.82
2051	3.061	561.1
2060	3.642	437.3
2061	3.001	621.2
2070	1.077	-25.66
2071	1.06	-9.36
2080	3.273	536.6
2081	3.201	543.7
