channel	target_frequency_khz	threshold_adc
1010	5.544	-2863
1011	4.848	477.4
1020	4.997	680.9
1021	5.709	-2708
1030	6.706	-3077
1031	6.954	-2760
1040	5.376	606.5
1041	5.759	-2842
1050	7.389	-2521
1051	7.18	-2019
1060	5.191	637.6
1061	5.849	-2811
1070	6.635	-2791
1071	6.757	-2804
1080	5.063	629.7
1081	5.095	662.4
2010	2.121	642.1
2011	2.257	643.6
2021	1.971	622.7
2040	4.576	621.4
2050	3.658	618.7
2051	3.061	638.8
2060	3.642	674
2061	3.001	703.5
2070	1.077	682.8
2071	1.06	669.7
2080	3.273	626.8
2081	3.201	626.5
