channel	target_frequency_khz	threshold_adc
1010	5.544	-2760
1011	4.848	-0.04
1020	4.997	408.7
1021	5.709	-2788
1030	6.706	-3025
1031	6.954	-2632
1040	5.376	-2267
1041	5.759	-2964
1050	7.389	-2623
1051	7.18	-2127
1060	5.191	631.1
1061	5.849	-2969
1070	6.635	-2573
1071	6.757	-3013
1080	5.063	-2672
1081	5.095	3.78
2010	2.121	593.3
2011	2.257	595.8
2021	1.971	569.4
2040	4.576	584.1
2050	3.658	586
2051	3.061	602.7
2060	3.642	648.7
2061	3.001	670.2
2070	1.077	-10.6
2071	1.06	-22.98
2080	3.273	589.6
2081	3.201	590.8
