channel	target_frequency_khz	threshold_adc
1010	5.544	-2811
1011	4.848	646.3
1020	4.997	716.4
1021	5.709	-2726
1030	6.706	-2944
1031	6.954	-2772
1040	5.376	-10.22
1041	5.759	-2718
1050	7.389	-2557
1051	7.18	-1982
1060	5.191	645.7
1061	5.849	-2768
1070	6.635	-2806
1071	6.757	-3017
1080	5.063	657.5
1081	5.095	675.6
2010	2.121	663.7
2011	2.257	666.8
2021	1.971	640.3
2040	4.576	628.4
2050	3.658	634.6
2051	3.061	654.8
2060	3.642	684.7
2061	3.001	714.3
2070	1.077	707.8
2071	1.06	695
2080	3.273	641.4
2081	3.201	644.1
