channel	target_frequency_khz	threshold_adc
1010	5.544	620.9
1011	4.848	687.8
1020	4.997	673.6
1021	5.709	-2625
1030	6.706	-3085
1031	6.954	-2808
1040	5.376	641.2
1041	5.759	-2942
1050	7.389	68.06
1051	7.18	-1896
1060	5.191	645.7
1061	5.849	551.1
1070	6.635	-57.54
1071	6.757	-2973
1080	5.063	607.7
1081	5.095	195.4
2010	2.121	583
2011	2.257	593.8
2021	1.971	536.4
2040	4.576	546.6
2050	3.658	565.7
2051	3.061	571
2060	3.642	640.1
2061	3.001	649
2070	1.077	693.7
2071	1.06	686.8
2080	3.273	566.3
2081	3.201	566.1
