channel	target_frequency_khz	threshold_adc
1010	5.544	-2880
1011	4.848	-2626
1020	4.997	-2940
1021	5.709	438
1030	6.706	-2955
1031	6.954	-2648
1040	5.376	-2929
1041	5.759	-2794
1050	7.389	-2377
1051	7.18	-1704
1060	5.191	-3213
1061	5.849	-2892
1070	6.635	-3218
1071	6.757	-2856
1080	5.063	-2631
1081	5.095	-2542
2010	2.121	-2614
2011	2.257	-2487
2021	1.971	-2521
2040	4.576	-2196
2050	3.658	572.9
2051	3.061	583
2060	3.642	639.4
2061	3.001	652.6
2070	1.077	-21.08
2071	1.06	-8.02
2080	3.273	567.5
2081	3.201	565.7
