channel	target_frequency_khz	threshold_adc
1010	5.544	-2948
1011	4.848	-2647
1020	4.997	-5.3
1021	5.709	134.1
1030	6.706	-2877
1031	6.954	615.2
1040	5.376	51.12
1041	5.759	3.76
1050	7.389	-2380
1051	7.18	-6.2
1060	5.191	22.6
1061	5.849	7.16
1070	6.635	-2845
1071	6.757	25.86
1080	5.063	136.9
1081	5.095	-2861
2010	2.121	-2856
2011	2.257	-2350
2021	1.971	-2488
2040	4.576	34.4
2050	3.658	-2392
2051	3.061	-3078
2060	3.642	-3499
2061	3.001	-2104
2070	1.077	651.1
2071	1.06	643.2
2080	3.273	-2536
2081	3.201	-2294
