channel	target_frequency_khz	threshold_adc
1010	5.544	53.64
1011	4.848	147.1
1020	4.997	153.1
1021	5.709	110.7
1030	6.706	158.8
1031	6.954	15.04
1040	5.376	205.7
1041	5.759	65.26
1050	7.389	213.9
1051	7.18	175.5
1060	5.191	155.4
1061	5.849	135.6
1070	6.635	-505.4
1071	6.757	45.02
1080	5.063	202.3
1081	5.095	212.9
2010	2.121	313.8
2011	2.257	298.9
2021	1.971	295.6
2040	4.576	170.4
2050	3.658	71.9
2051	3.061	216.2
2060	3.642	92.24
2061	3.001	192.3
2070	1.077	188.3
2071	1.06	191.2
2080	3.273	106.4
2081	3.201	101
