channel	target_frequency_khz	threshold_adc
1010	5.544	-2914
1011	4.848	-2510
1020	4.997	-3012
1021	5.709	-2413
1030	6.706	-3079
1031	6.954	-2896
1040	5.376	-2917
1041	5.759	-2863
1050	7.389	-2577
1051	7.18	-1961
1060	5.191	-2896
1061	5.849	-2753
1070	6.635	-3033
1071	6.757	-2994
1080	5.063	-3013
1081	5.095	-2771
2010	2.121	-2740
2011	2.257	-2310
2021	1.971	-2620
2040	4.576	-2498
2050	3.658	527.1
2051	3.061	559.5
2060	3.642	607.7
2061	3.001	631.8
2070	1.077	-11.46
2071	1.06	-26.64
2080	3.273	547.8
2081	3.201	549.1
