channel	target_frequency_khz	threshold_adc
1010	5.544	-3054
1011	4.848	646.6
1020	4.997	315.8
1021	5.709	-3078
1030	6.706	-3060
1031	6.954	-2736
1040	5.376	-2438
1041	5.759	-2692
1050	7.389	-2598
1051	7.18	-2042
1060	5.191	26.28
1061	5.849	-2796
1070	6.635	-2778
1071	6.757	-2924
1080	5.063	-8.12
1081	5.095	-2764
2010	2.121	603.2
2011	2.257	607.6
2021	1.971	582.2
2040	4.576	588.7
2050	3.658	603.1
2051	3.061	619.5
2060	3.642	664.8
2061	3.001	688.7
2070	1.077	666.8
2071	1.06	652.6
2080	3.273	612.7
2081	3.201	613.2
