channel	target_frequency_khz	threshold_adc
1010	5.544	568.8
1011	4.848	650.6
1020	4.997	663.4
1021	5.709	-2518
1030	6.706	-2940
1031	6.954	-2727
1040	5.376	722.8
1041	5.759	-2989
1050	7.389	-2386
1051	7.18	-2099
1060	5.191	-2658
1061	5.849	-3154
1070	6.635	-2990
1071	6.757	-2915
1080	5.063	595.9
1081	5.095	568.3
2010	2.121	580.6
2011	2.257	591.9
2021	1.971	520.5
2040	4.576	538.5
2050	3.658	558.3
2051	3.061	564.5
2060	3.642	632.4
2061	3.001	642.2
2070	1.077	683.6
2071	1.06	669
2080	3.273	562.8
2081	3.201	561.2
