channel	target_frequency_khz	threshold_adc
1010	5.544	-2767
1011	4.848	-2710
1020	4.997	-3034
1021	5.709	-2645
1030	6.706	-3073
1031	6.954	-2811
1040	5.376	-2611
1041	5.759	-3020
1050	7.389	-2773
1051	7.18	-2099
1060	5.191	20.7
1061	5.849	-2912
1070	6.635	-2990
1071	6.757	-2886
1080	5.063	-2464
1081	5.095	-2626
2010	2.121	546.8
2011	2.257	564.7
2021	1.971	148.5
2040	4.576	542.5
2050	3.658	573.4
2051	3.061	588.4
2060	3.642	637.2
2061	3.001	659.7
2070	1.077	-18.72
2071	1.06	-30.1
2080	3.273	578.5
2081	3.201	578.7
