channel	target_frequency_khz	threshold_adc
1010	5.544	619.7
1011	4.848	639.1
1020	4.997	731.6
1021	5.709	491.6
1030	6.706	-2944
1031	6.954	-2866
1040	5.376	46.08
1041	5.759	-2516
1050	7.389	-2345
1051	7.18	-1964
1060	5.191	677.2
1061	5.849	-2676
1070	6.635	-2974
1071	6.757	-2895
1080	5.063	660.3
1081	5.095	675.9
2010	2.121	689.4
2011	2.257	691.1
2021	1.971	661.2
2040	4.576	639.7
2050	3.658	640.3
2051	3.061	663.3
2060	3.642	685.8
2061	3.001	717.9
2070	1.077	721.4
2071	1.06	706.5
2080	3.273	648.2
2081	3.201	651.9
