channel	target_frequency_khz	threshold_adc
1010	5.544	-2798
1011	4.848	644
1020	4.997	699
1021	5.709	-2939
1030	6.706	-2950
1031	6.954	-2707
1040	5.376	609.6
1041	5.759	-2904
1050	7.389	-2553
1051	7.18	-2064
1060	5.191	641.3
1061	5.849	-2783
1070	6.635	-3125
1071	6.757	-3061
1080	5.063	644.1
1081	5.095	704.8
2010	2.121	658.2
2011	2.257	660.3
2021	1.971	637.1
2040	4.576	626.4
2050	3.658	626.4
2051	3.061	644.3
2060	3.642	679
2061	3.001	707
2070	1.077	702.2
2071	1.06	691.7
2080	3.273	635.2
2081	3.201	634.9
