channel	target_frequency_khz	threshold_adc
1010	5.544	-3015
1011	4.848	623.6
1020	4.997	629.6
1021	5.709	-2855
1030	6.706	-3029
1031	6.954	-2801
1040	5.376	649.8
1041	5.759	-2956
1050	7.389	-2457
1051	7.18	-1914
1060	5.191	603.7
1061	5.849	-3175
1070	6.635	-2917
1071	6.757	-3023
1080	5.063	605.5
1081	5.095	640.9
2010	2.121	611.4
2011	2.257	614.1
2021	1.971	589.1
2040	4.576	587.9
2050	3.658	583.3
2051	3.061	603.5
2060	3.642	642.1
2061	3.001	673.6
2070	1.077	593.7
2071	1.06	-29.64
2080	3.273	595.5
2081	3.201	596.6
