channel	target_frequency_khz	threshold_adc
1010	5.544	375.5
1011	4.848	602
1020	4.997	726.5
1021	5.709	-2690
1030	6.706	-2908
1031	6.954	-2666
1040	5.376	526.1
1041	5.759	-2628
1050	7.389	-2518
1051	7.18	-2135
1060	5.191	670.9
1061	5.849	-2954
1070	6.635	-2785
1071	6.757	-2777
1080	5.063	662.4
1081	5.095	646
2010	2.121	685.9
2011	2.257	687.8
2021	1.971	660.1
2040	4.576	640.9
2050	3.658	646.5
2051	3.061	670.6
2060	3.642	691.8
2061	3.001	723.6
2070	1.077	717.7
2071	1.06	707.7
2080	3.273	653.7
2081	3.201	656.4
