channel	target_frequency_khz	threshold_adc
1010	5.544	-2958
1011	4.848	645.6
1020	4.997	609.1
1021	5.709	-2866
1030	6.706	-2952
1031	6.954	-2809
1040	5.376	-2275
1041	5.759	-2743
1050	7.389	-2685
1051	7.18	-2045
1060	5.191	590.7
1061	5.849	-2902
1070	6.635	-2964
1071	6.757	-2844
1080	5.063	553
1081	5.095	572
2010	2.121	609.4
2011	2.257	610.6
2021	1.971	587.1
2040	4.576	592.7
2050	3.658	596.3
2051	3.061	612.5
2060	3.642	654.8
2061	3.001	680
2070	1.077	628.6
2071	1.06	-28.7
2080	3.273	595.4
2081	3.201	595.3
