channel	target_frequency_khz	threshold_adc
1010	5.544	-2830
1011	4.848	-2509
1020	4.997	-2969
1021	5.709	-2645
1030	6.706	-2858
1031	6.954	-2717
1040	5.376	-2658
1041	5.759	-2973
1050	7.389	-2368
1051	7.18	-1895
1060	5.191	-2969
1061	5.849	-3154
1070	6.635	-2713
1071	6.757	-2947
1080	5.063	-2537
1081	5.095	-2740
2010	2.121	-2678
2011	2.257	-2494
2021	1.971	-2548
2040	4.576	-2340
2050	3.658	-33.94
2051	3.061	11.5
2060	3.642	-1189
2061	3.001	-3183
2070	1.077	-28.18
2071	1.06	-24.2
2080	3.273	-2096
2081	3.201	-2689
