channel	target_frequency_khz	threshold_adc
1010	5.544	-2993
1011	4.848	-2847
1020	4.997	-3045
1021	5.709	-2794
1030	6.706	-3089
1031	6.954	-2758
1040	5.376	-2616
1041	5.759	-2990
1050	7.389	-2668
1051	7.18	-1977
1060	5.191	-2593
1061	5.849	-3163
1070	6.635	-2786
1071	6.757	-3190
1080	5.063	-2675
1081	5.095	-2609
2010	2.121	-2703
2011	2.257	-2336
2021	1.971	-2519
2040	4.576	229.1
2050	3.658	553.2
2051	3.061	571.5
2060	3.642	621.9
2061	3.001	645
2070	1.077	-9.04
2071	1.06	-22.66
2080	3.273	566.6
2081	3.201	565.6
