channel	target_frequency_khz	threshold_adc
1010	5.544	-1739
1011	4.848	594.8
1020	4.997	711
1021	5.709	-2727
1030	6.706	-2970
1031	6.954	-2814
1040	5.376	668.2
1041	5.759	-2736
1050	7.389	-2306
1051	7.18	-2160
1060	5.191	663.1
1061	5.849	-2936
1070	6.635	-2814
1071	6.757	-2804
1080	5.063	660.1
1081	5.095	661
2010	2.121	657.4
2011	2.257	660.2
2021	1.971	634.1
2040	4.576	620
2050	3.658	624.7
2051	3.061	644.8
2060	3.642	674.9
2061	3.001	705.8
2070	1.077	695.7
2071	1.06	685.5
2080	3.273	628.2
2081	3.201	630.3
