sample,mean,mean_uncertainty,median,percentile_16,percentile_84
0,-3.457585334777832,0.91539776593299693,1,-10,12
1,-3.2772147655487061,0.89941235668437458,0.5,-9.5,12
2,-3.1095831394195557,0.88487076046524582,0.5,-9.5,11.5
3,-2.9538216590881348,0.8713975315724517,1,-9.5,11.259999999999991
4,-2.8162999153137207,0.85648531001637074,0.5,-9,11
5,-2.7285754680633545,0.83919649724710554,0.5,-9.5,11
6,-2.5044875144958496,0.81734698251718996,0.75,-9,11
7,-2.3319339752197266,0.7951563457373384,1,-8,11
8,-2.1657497882843018,0.77230923511368044,0.5,-8,10.5
9,-1.9549797773361206,0.74973605598732196,0.5,-8,10.5
10,-1.6637232303619385,0.72472146008524907,0.5,-8,10.5
11,-1.4112622737884521,0.69617454549103941,1,-8,10.259999999999991
12,-1.1938332319259644,0.66708369896862874,1,-8,10
13,-0.96887665987014771,0.63792316066643817,0.5,-8,10
14,-0.6475101113319397,0.60419916811889696,0.5,-8,10
15,-0.30529820919036865,0.56580920996064665,0,-7.5,10
16,0.021858714520931244,0.53040872840053566,0.5,-7.5,9.5
17,0.16169658303260803,0.49621221147716349,0,-7.5,9.5
18,0.29748117923736572,0.46208675444166297,0,-8,9.5
19,0.48190504312515259,0.42612026093923755,0,-7.5,9.5
20,0.72568035125732422,0.38652708650199091,0,-7.5,9
21,1.0175158977508545,0.34595382387169021,0,-7,9
22,1.283294677734375,0.30782329911709244,0,-7.5,9
23,1.5511001348495483,0.27548807011171045,0,-7,9
24,1.7030978202819824,0.25383047782930873,0,-7,9
25,1.8420671224594116,0.24973301372806914,0,-7,9
26,1.9433989524841309,0.26309767979991394,0,-7,9
27,2.0560219287872314,0.28404952955021118,0,-7.5,9.5
28,2.0832369327545166,0.30413827599196896,0,-7.5,10
29,1.8449623584747314,0.32269127249788326,0,-8,9
30,1.6437463760375977,0.34139781350004494,0,-8,9
31,1.6978864669799805,0.36346947165694238,0,-8,9
32,1.8203532695770264,0.38800101295925632,0,-8,9
33,1.8348292112350464,0.41323707631636081,0,-8,9
34,1.8449623584747314,0.43845007432312122,0,-8.5,9
35,1.9807469844818115,0.46281863339593116,0,-8,9
36,2.137955904006958,0.48472179821833034,0,-8,9
37,2.1092934608459473,0.5049992541147561,0,-8.5,9
38,1.8915749788284302,0.52553174649622392,-0.5,-9,8.5
39,1.8186161518096924,0.5455407931611137,-0.5,-9,9
40,1.8090620040893555,0.56365305214316852,-0.5,-9,9
41,1.8409091234207153,0.57822530113003467,-1,-9,9
42,1.8058772087097168,0.59067010473348047,-1,-9.5,9
43,1.6628546714782715,0.60112473748698692,-1,-10,9
44,1.431239128112793,0.60851742654787133,-1,-10,9
45,1.2754776477813721,0.61350220406742761,-1,-10,9
46,1.1185581684112549,0.61711255438131662,-1,-10.5,9
47,1.0247539281845093,0.62097801023056709,-1,-11,9
48,0.86262303590774536,0.62193255331216413,-1,-11,9
49,0.89620727300643921,0.62749895350907803,-1,-11,10
50,1.0175158977508545,0.68993968991159293,-1.5,-11,10
51,1.3319339752197266,0.9411679034456274,-1.5,-12,10
52,1.8090620040893555,1.3915624132439541,-1.5,-12,10.5
53,2.4685871601104736,1.8855458804185998,-2,-12.5,10
54,3.0794730186462402,2.2829115547440177,-1.5,-12.5,11
55,3.3562536239624023,2.5253610665810373,-2,-12.5,11
56,3.5450203418731689,2.6307013393897214,-2,-12,11
57,3.6124782562255859,2.6470145271484027,-2,-12.5,11
58,3.8802838325500488,2.6263464316057443,-2,-12.5,11.5
59,5.1547479629516602,2.6012712490904333,-1.5,-13,13.5
60,9.2821369171142578,2.598290454865551,0,-12,18.5
61,20.229734420776367,2.6609668292121147,4,-11,37.759999999999991
62,48.470325469970703,2.8680927368418936,18.5,-5,94
63,117.06036376953125,3.3222038113377548,75,14.5,218
64,263.3348388671875,4.2005411130426848,221.25,79.5,447
65,520.16168212890625,6.1005301565151271,461.75,213.5,832.51999999999998
66,884.83282470703125,9.7803319954956205,748,380,1443.52
67,1310.88525390625,15.061912714669775,1036.75,528,2240.7600000000002
68,1729.996337890625,20.928562249953774,1298.25,654,3039.8000000000002
69,2082.316650390625,26.231428137763544,1508.5,737.74000000000001,3786.1599999999999
70,2336.1279296875,30.197981991952123,1670.25,794.48000000000002,4349.0799999999999
71,2489.854736328125,32.61831194960974,1761,826,4637.6800000000003
72,2561.194580078125,33.714577341105532,1788.25,843.48000000000002,4808.2800000000007
73,2574.60400390625,33.877895369979555,1794.25,843.48000000000002,4849.8199999999997
