sample,mean,mean_uncertainty,median,percentile_16,percentile_84
0,-0.034165012758718458,0.12854333538682647,0.5,-4,5
1,0.0036574992911823081,0.12396923116870255,0.5,-4,5
2,0.038644740572724698,0.11928927075143589,0.5,-4,5
3,0.037680748511482849,0.11490291566157598,0.5,-3.5,4.5
4,0.065863339948965122,0.11040561424072441,0,-3,4
5,0.08684434363481712,0.10616931807948639,0,-3,4
6,0.11168131556563651,0.10220217122910594,0,-3,4
7,0.12710518854550609,0.098450469658388301,0,-3,4
8,0.12166146867025801,0.094479265271008681,0,-3,4
9,0.12449673943861639,0.090559889513823086,0,-3,4
10,0.12489367734618656,0.086475275893468484,0,-3,4
11,0.12806918060674793,0.082373114656447338,0,-3,4
12,0.12285228239296853,0.078184017053312543,0,-3,4
13,0.11842925999432946,0.073978173126016858,0,-3,3.5
14,0.12375956903884321,0.069562834822517031,0,-3,3
15,0.14406010774028918,0.064684502654252921,0,-3,3
16,0.15545789622908987,0.059371334209721238,0,-2.5,3
17,0.15387014459880918,0.053679561957154419,0,-2.5,3
18,0.14553444853983555,0.048107169612767994,0,-2.5,3
19,0.14899347887723277,0.042682452683862844,0,-2.5,3
20,0.12472356110008506,0.037614453717195198,0,-2.5,3
21,0.13334278423589452,0.032987196985882275,0,-2.5,3
22,0.14150836404876665,0.02911667460769295,0,-2,3
23,0.13986390700311879,0.026198907114728075,0,-2,2.5
24,0.15494754749078538,0.024581291432625895,0,-2,2.5
25,0.15256592004536434,0.02455772729404895,0,-2,2.5
26,0.1611851431811738,0.026230727211067766,0,-2.5,2.5
27,0.17252622625460731,0.029534090111696547,0,-2.5,2.5
28,0.16946413382478026,0.033706485073515528,0,-3,3
29,0.17456762120782535,0.038566481221925783,0,-3,3
30,0.18522823929685284,0.043551924219972268,0,-3,3
31,0.23240714488233627,0.049200580948866535,0,-3,3
32,0.25146016444570457,0.05545808142256492,0,-3,3
33,0.26234760419620073,0.06190200830153491,0,-3,3
34,0.27091012191664304,0.068247060886395511,0,-3,3
35,0.27266798979302526,0.074835227995264833,0,-3,3
36,0.28310178622058407,0.08125572017783754,0,-3,3
37,0.30170116246101503,0.087372845510698474,0,-3,3
38,0.36282960022682165,0.093189753333563219,0,-3.5,3
39,0.38556847178905584,0.098627315368183158,0,-3.5,3
40,0.38897079671108592,0.10375251700870913,0,-4,3
41,0.38579529345052455,0.10883993167011392,0,-4,3
42,0.44068613552594271,0.11398384553218245,0,-4,3
43,0.47198752480861922,0.11900640866149909,0,-4,3
44,0.53005387014459882,0.12442219459310996,-0.5,-4,3
45,0.57360362914658347,0.13044978276413238,-0.5,-4,3
46,0.62401474340799545,0.13735016128121971,-0.5,-4,3.5
47,0.67760136092996881,0.1453860611694256,-0.5,-4.5,4
48,0.75239580379926285,0.15451117654226815,-0.5,-4.5,4
49,0.84817125035440888,0.16479365085488917,-0.5,-5,4
50,0.98726963425007086,0.17604336546325633,-1,-5,4
51,1.1558548341366601,0.1890422146338844,-1,-5,4
52,1.4026935072299405,0.20510139730086718,-1,-5,4.5
53,1.7659483980720159,0.225714220589738,-1,-5,5
54,2.3330592571590585,0.25307505853396783,-1,-5,5
55,3.3966260277856537,0.29067825410334708,-0.5,-5,6
56,5.6245817975616674,0.3430958506551981,0,-5,8
57,11.051176637368869,0.41909210320516749,1.5,-4,15
58,25.81851431811738,0.53367102264942146,9,-1,41
59,63.402750212645309,0.71375088684552224,38,8,109
60,140.78664587468103,1.0243338372264359,107,38,234
61,265.40569889424438,1.5762754707327364,211,96,434.5
62,428.30085058123052,2.405383187803368,335,170,695
63,610.53328607882054,3.4170518747422158,468.5,248,990.27999999999975
64,794.20626594839803,4.4818784920919255,600,322,1283.5599999999995
65,967.94751913807772,5.5092263024971313,724,390,1565.2799999999997
66,1126.3118514318116,6.45665744975161,837,451,1821.5
