sample,mean,mean_uncertainty,median,percentile_16,percentile_84
0,0.48766851425170898,0.09139452774116999,0,-3,4
1,0.51550358533859253,0.089684363400425779,0,-3,4
2,0.5121728777885437,0.08750343340819712,0,-3,4
3,0.52272003889083862,0.085353296707173509,0,-3,4
4,0.5091593861579895,0.082910146782387936,0,-3,4
5,0.49250593781471252,0.080746278103852556,0,-3,4
6,0.49742269515991211,0.078238278526665025,0,-3,4
7,0.50043618679046631,0.075303500783745925,0,-2.5,4
8,0.49908801913261414,0.071837949688868294,0,-2.5,4
9,0.5155828595161438,0.067893346753734415,0,-2.5,3.5
10,0.53683584928512573,0.062770378645450167,0,-2,3.5
11,0.52866774797439575,0.05770422222784026,0,-2,3
12,0.53786677122116089,0.05421913769388341,0,-2,3
13,0.53620141744613647,0.052589016149188227,0,-2,3
14,0.50685966014862061,0.052057300234345225,0,-2,3
15,0.49940523505210876,0.051698667832115568,0,-2,3
16,0.49948453903198242,0.051584064851900459,0,-2,3
17,0.50297385454177856,0.050965549049693762,0,-2,3
18,0.50043618679046631,0.049904091519689275,0,-2,3
19,0.48465502262115479,0.048293681645405033,0,-2,3
20,0.43017446994781494,0.046794740162111673,0,-2,3
21,0.43429818749427795,0.044766187689829762,0,-2,3
22,0.43358445167541504,0.042842666904031962,0,-2,3
23,0.40210151672363281,0.04129349347515629,0,-2,2.5
24,0.39885011315345764,0.040055547248480171,0,-2,2
25,0.40257731080055237,0.039339304165452095,0,-2,2.5
26,0.37323552370071411,0.039288115267642816,0,-2,2.5
27,0.34651070833206177,0.039925952251941947,0,-2,2.5
28,0.35840603709220886,0.041027624719275131,0,-2,2.5
29,0.35800951719284058,0.042158276377486599,0,-2,2.5
30,0.36998414993286133,0.043630960955040682,0,-2,2.5
31,0.32613006234169006,0.045078064816114788,0,-2.5,2.5
32,0.3071768581867218,0.046639963826458998,0,-2.5,2.5
33,0.32494053244590759,0.048514473400875717,0,-2.5,2.5
34,0.3468279242515564,0.050815408637329945,0,-3,2.5
35,0.32993656396865845,0.052968483559004124,0,-3,2.5
36,0.3339809775352478,0.055331832057602878,0,-3,2.5
37,0.32501983642578125,0.057867386022571049,0,-3,2.5
38,0.35150673985481262,0.059883536090158493,0,-3,3
39,0.35134813189506531,0.062029642153077824,0,-3,2.5
40,0.35666137933731079,0.063383092716470718,0,-3,3
41,0.34413164854049683,0.065151012556996485,0,-3,3
42,0.33929422497749329,0.066664080745885965,0,-3,3
43,0.37942108511924744,0.068384654516868412,0,-3,3
44,0.35674068331718445,0.070081487020767275,0,-3,3
45,0.38925457000732422,0.072297266304841803,0,-3,3
46,0.38988897204399109,0.07460024276582114,0,-3.5,3
47,0.41574147343635559,0.076860354386459454,-0.5,-3.5,3
48,0.43136399984359741,0.080027043846640417,-0.5,-4,3
49,0.48108643293380737,0.083914276801755533,-0.5,-4,3
50,0.55975419282913208,0.088200357701270701,-0.5,-4,3.5
51,0.62264078855514526,0.093817435283186937,-0.5,-4,4
52,0.69615381956100464,0.1032555449021164,-0.5,-4,4
53,0.77783507108688354,0.11759540239170445,-0.5,-4,4
54,0.86578112840652466,0.13413339976704239,-0.5,-4,4
55,0.9431006908416748,0.15028344170309174,-0.5,-4,4
56,1.0358842611312866,0.16507716720642709,-0.5,-4,4.5
57,1.1638778448104858,0.17914557805753528,-0.5,-4,5
58,1.2775177955627441,0.19250905356109288,-0.5,-4,5
59,1.45301353931427,0.20563787822568136,-0.5,-4,5
60,1.6008327007293701,0.21860954846637415,-0.5,-4.5,5
61,1.7509516477584839,0.2310904468986745,-0.5,-4.5,5
62,2.0465900897979736,0.24400274823712348,0,-4.5,6
63,3.3931403160095215,0.26132012565651791,0,-4,8
64,9.2465896606445312,0.30984477185098419,2,-3,17
65,28.944686889648438,0.46587796577785889,12,0,57
66,81.265625,0.75144835217318118,58,16,145.5
67,190.52326965332031,1.095386707952531,169,88,285.5
68,362.29058837890625,1.6617463755556408,329,219,486
69,568.7174072265625,2.7020706209246819,483.25,359,761.27999999999975
70,771.17559814453125,4.0052985114674708,618,473.5,1053.2799999999997
71,945.78936767578125,5.2455053179337172,730,562,1311
72,1087.189697265625,6.2902372005101617,820,630,1521.5599999999995
73,1198.06298828125,7.1386488476351513,889,681,1688.2799999999997
74,1280.6715087890625,7.8067824499082876,939,717,1818
75,1335.9910888671875,8.2910704180667398,971.25,741,1902.8399999999992
76,1365.3626708984375,8.5847762005409614,988.75,751,1946.119999999999
77,1371.79541015625,8.6968787396411464,990.5,752,1957.5599999999995
78,1359.2987060546875,8.6522278678832052,982,744,1939.8399999999992
79,1332.2359619140625,8.4825792141832874,962,730,1899.5599999999995
80,1294.4208984375,8.2176681595265766,936,711,1844
81,1249.2884521484375,7.8845007536273082,905,690,1776
82,1200.1549072265625,7.5109422338154674,874,666.5,1703.5599999999995
83,1149.5960693359375,7.1199252790951224,841,643,1625.5
84,1099.7147216796875,6.729139348176016,809,619,1548.0599999999995
85,1052.5528564453125,6.3494177295840908,780,598,1475
86,1010.4835815429688,5.9911300706264869,755.75,580,1410.2799999999997
87,976.368408203125,5.6783995476107902,737,566.22000000000003,1356.7799999999997
88,951.71722412109375,5.4419362761566505,725,556.5,1320
89,934.449462890625,5.2837655914824264,715,549,1292
90,920.7584228515625,5.1745098666503253,706.5,542,1271.7799999999997
91,907.51068115234375,5.083474474240127,697.5,536,1255
92,893.0361328125,4.9920003948090121,688,527.5,1234
93,876.90484619140625,4.8912723646349088,676.25,519,1208
94,859.14764404296875,4.7805428725508428,664,509,1181.7799999999997
95,839.8653564453125,4.6597877792365603,651,499,1155
96,819.19061279296875,4.5277368558335409,637,487,1123
97,797.48419189453125,4.3863414437247013,622,476,1092
98,775.28564453125,4.2393557084754629,607,463.5,1058.2799999999997
99,752.89898681640625,4.0900011577257764,591,452,1027
100,730.85247802734375,3.9406949787556735,576,440,994.77999999999975
101,709.51611328125,3.7950834093847852,561,428.22000000000003,963
102,689.24871826171875,3.6554619806571216,547.5,418,935
103,670.25518798828125,3.5245969874529703,535,408,907
104,652.700439453125,3.4037158488189032,524,399,882
105,636.63189697265625,3.2935945401243996,513,390.22000000000003,858
106,622.08331298828125,3.1933086312760763,503.75,382.72000000000003,835.77999999999975
