run,event,channel,waveform_index_save,fprompt
039522,1,2071,472,0.60218150911323076
039522,1,2071,473,0.59164396003633057
039522,1,2071,474,0.61881629820561124
039522,1,2071,477,0.59948467115031878
039522,2,2071,472,0.61695624195624199
039522,2,2071,475,0.60839682013911889
039522,3,2071,109,0.63766393963030821
039522,4,2071,304,0.57739557739557734
039522,4,2071,305,0.57620901332534813
039522,4,2071,306,0.62074249421412497
039522,4,2071,309,0.63513355429908369
039522,5,2071,665,0.58815517328355948
039522,5,2071,667,0.60981027302174917
039522,6,2071,524,0.63848046337730768
039522,7,2071,675,0.61035448203862763
039522,7,2071,677,0.59829982458507625
039522,8,2071,236,0.62858354088283608
039522,8,2071,238,0.60669262143121983
039522,8,2071,243,0.61419782300047321
039522,8,2071,246,0.64168816152272523
039522,9,2071,432,0.63569455366684813
039522,10,2071,467,0.62969501099915814
039522,10,2071,471,0.60258173407513904
039522,11,2071,436,0.6426622324550183
039522,11,2071,441,0.6216216216216216
039522,11,2071,442,0.56791802684076897
039522,13,2071,362,0.63555846967237006
039522,14,2071,544,0.57438374265275438
039522,17,2071,474,0.6274344490346514
039522,20,2071,490,0.63102074976191158
039522,21,2071,535,0.64035611260320302
039522,21,2071,537,0.63609473986270226
039522,22,2071,464,0.63040344271113502
039522,23,2071,493,0.63892856009394139
039522,24,2071,341,0.5861863142187167
039522,25,2071,535,0.57015402370278312
039522,25,2071,539,0.6122891376320353
039522,25,2071,540,0.60232288037166082
039522,25,2071,545,0.65239257083105118
039522,25,2071,546,0.62886051675413812
039522,26,2071,540,0.6070279984865683
039522,26,2071,543,0.59696065634905837
039522,27,2071,104,0.60128926073240985
039522,30,2071,443,0.61770260989010994
039522,30,2071,448,0.62932794073178111
039522,30,2071,450,0.63299776555104392
039522,30,2071,455,0.64035874439461882
039522,31,2071,410,0.62331649831649827
039522,32,2071,137,0.6255828837889732
039522,34,2071,545,0.621427559166706
039522,34,2071,551,0.59783319705641869
039522,34,2071,552,0.62746641182753382
039522,35,2071,531,0.63123267917896497
039522,36,2071,583,0.63271625565283252
039522,37,2071,51,0.60410352063418049
039522,38,2071,491,0.60774274348018276
039522,38,2071,492,0.60804569333286329
039522,39,2071,493,0.62069170783975236
039522,39,2071,495,0.61394815324615737
039522,40,2071,63,0.59767466780968714
039522,40,2071,64,0.59009009009009006
039522,40,2071,66,0.59163465642338886
039522,40,2071,68,0.63872816238441643
039522,41,2071,96,0.62687723078995217
039522,41,2071,101,0.60023153507756422
039522,42,2071,602,0.6283055475711411
039522,43,2071,582,0.59833620575367896
039522,43,2071,583,0.6319137404797901
039522,43,2071,584,0.59800884432567925
039522,43,2071,586,0.62108209642370449
039522,43,2071,587,0.59826575825432371
039522,45,2071,135,0.60587709719050931
039522,45,2071,136,0.61395782163123569
039522,45,2071,137,0.56769936890418815
039522,45,2071,140,0.56316742081447968
039522,45,2071,141,0.62054199730498583
039522,47,2071,552,0.6156113285747179
039522,47,2071,554,0.60893933518981991
039522,48,2071,498,0.57060311709404377
039522,48,2071,499,0.60162451541443607
039522,49,2071,491,0.60482070442429492
039522,49,2071,492,0.60104438642297653
039522,52,2071,366,0.63908971117205027
039522,55,2071,620,0.64399901623216926
039522,55,2071,622,0.62838311290181303
039522,56,2071,486,0.62837531371896826
039522,57,2071,467,0.62384226775189444
039522,57,2071,473,0.59515652133101793
039522,57,2071,474,0.61226802663266755
039522,57,2071,475,0.60339066947160003
039522,58,2071,559,0.61978079331941549
039522,59,2071,490,0.62537267400020558
039522,59,2071,493,0.62408197370157004
039522,59,2071,495,0.62229427260836723
039522,59,2071,499,0.60304875556827009
039522,59,2071,500,0.63253423947951848
039522,60,2071,493,0.57815761065131344
039522,60,2071,495,0.60761979575805181
039522,60,2071,498,0.55360918151615823
039522,62,2071,223,0.61103770260747003
039522,62,2071,225,0.63777089783281737
039522,63,2071,139,0.60153226853655373
039522,63,2071,140,0.63792012152667887
039522,64,2071,74,0.60756835714611768
039522,65,2071,469,0.62727325212170193
039522,66,2071,530,0.59286164182238088
039522,68,2071,140,0.58480337320368303
039522,68,2071,141,0.63044890534658615
039522,68,2071,144,0.60993179880647908
039522,68,2071,146,0.61768562530732662
039522,69,2071,538,0.60228561458605945
039522,69,2071,541,0.62522613363385626
039522,69,2071,543,0.61772624630884143
039522,69,2071,551,0.59308935867827328
039522,70,2071,537,0.60689038758430158
039522,70,2071,539,0.61830911385191512
039522,71,2071,500,0.62924901185770754
039522,72,2071,588,0.61822399129463645
039522,72,2071,589,0.62991055908473181
039522,72,2071,594,0.63830469644902632
039522,73,2071,567,0.63010417124522
039522,73,2071,569,0.62728920259442966
039522,73,2071,572,0.64659233628091761
039522,74,2071,493,0.61468731452004532
039522,74,2071,494,0.62631653857102187
039522,74,2071,495,0.62903666993837393
039522,75,2071,446,0.61866203403804254
039522,75,2071,449,0.63865403716175295
039522,76,2071,477,0.61924955024415318
039522,76,2071,478,0.6042179802955665
039522,76,2071,479,0.63463203463203466
039522,77,2071,107,0.64688985736925519
039522,77,2071,111,0.66438040345821325
039522,77,2071,113,0.58703428725701945
039522,77,2071,115,0.63386028673994965
039522,78,2071,527,0.60741926874833196
039522,79,2071,462,0.61114385344531208
039522,79,2071,463,0.62370744010088275
039522,80,2071,131,0.64939184746877054
039522,81,2071,460,0.60563036491599198
039522,82,2071,574,0.62400536861278877
039522,82,2071,577,0.62152654079087999
039522,82,2071,578,0.60156306534481507
039522,83,2071,591,0.60629502146836523
039522,83,2071,592,0.59559320506466007
039522,84,2071,418,0.62486690146613155
039522,84,2071,422,0.61016707125517633
039522,85,2071,250,0.62436953945373863
039522,87,2071,556,0.61283909712155726
039522,87,2071,559,0.63808665073711734
039522,87,2071,561,0.6122149907331581
039522,87,2071,564,0.57658398428577951
039522,88,2071,533,0.6036390039721522
039522,89,2071,521,0.6239121756487026
039522,91,2071,445,0.61766249671944706
039522,91,2071,446,0.60637081946031901
039522,91,2071,451,0.61181492701735063
039522,91,2071,453,0.6260191579416351
039522,92,2071,470,0.62547088301365128
039522,93,2071,163,0.63128100750540639
039522,93,2071,167,0.61725470185158182
039522,94,2071,135,0.61079877336448596
039522,95,2071,591,0.61588865506026402
039522,95,2071,592,0.57688576839576888
039522,97,2071,107,0.63003466490590954
039522,97,2071,108,0.61004238669709809
039522,99,2071,101,0.61446370771072589
039522,99,2071,102,0.588399753589537
039522,99,2071,107,0.59523060246861781
039522,100,2071,261,0.62387600817065725
039522,100,2071,265,0.61126664178175938
039522,101,2071,353,0.6237639977890147
039522,101,2071,354,0.63365188346632029
039522,102,2071,570,0.61434848671512465
039522,103,2071,109,0.5904962546816479
039522,104,2071,514,0.6372603655818101
039522,104,2071,518,0.62005785920925749
039522,104,2071,520,0.6151666824062707
039522,105,2071,532,0.57589642271638153
039522,105,2071,535,0.62473513513513512
039522,106,2071,52,0.61265739983646772
039522,106,2071,56,0.60900361285415483
039522,107,2071,435,0.6060500174711726
039522,107,2071,436,0.59647940705803082
039522,107,2071,443,0.61526507989951051
039522,110,2071,166,0.63415246221261312
039522,110,2071,168,0.58848511558956684
039522,110,2071,173,0.56867513284697835
039522,111,2071,108,0.63125760323180391
039522,111,2071,112,0.62554246745195285
039522,112,2071,144,0.58451346550813688
039522,113,2071,239,0.62934796160079787
039522,113,2071,241,0.58111152066183391
039522,114,2071,54,0.6288882599634652
039522,114,2071,55,0.59272315515104901
039522,114,2071,56,0.65145979395016618
039522,114,2071,57,0.58551224818996883
039522,115,2071,532,0.63398894237584824
039522,115,2071,539,0.61879998424142146
039522,116,2071,524,0.63560549024150115
039522,118,2071,558,0.56706198254643092
039522,118,2071,559,0.64325485371092528
039522,118,2071,561,0.61355198634080488
039522,118,2071,563,0.65272395051383214
039522,119,2071,139,0.60484355502149101
039522,119,2071,140,0.60558375634517769
039522,119,2071,143,0.60980929301443476
039522,119,2071,147,0.6345740216136817
039522,119,2071,150,0.57315565324907269
039522,120,2071,528,0.62270882887925005
039522,120,2071,529,0.63297812252890007
039522,121,2071,546,0.63574675833650596
039522,121,2071,548,0.61376541439632926
039522,121,2071,551,0.59478326907348988
039522,122,2071,131,0.64184259683501921
039522,126,2071,471,0.62988342084186166
039522,127,2071,624,0.625387682764732
039522,128,2071,486,0.6371136585062499
039522,128,2071,488,0.62986476496934385
039522,129,2071,426,0.64839451424817274
039522,129,2071,431,0.61548603290575987
039522,131,2071,565,0.60805766507916081
039522,131,2071,574,0.58675139611014826
039522,132,2071,123,0.60732480119284293
039522,132,2071,124,0.64100826670280531
039522,132,2071,125,0.52184395515017723
039522,133,2071,539,0.62781473899692941
039522,133,2071,541,0.6448653447765611
039522,133,2071,544,0.58230723922250582
039522,134,2071,65,0.56925880923450789
039522,134,2071,67,0.58490472162794171
039522,134,2071,69,0.62084095063985378
039522,135,2071,543,0.60563670875629283
039522,135,2071,544,0.60638097923127521
039522,135,2071,545,0.61291843470061291
039522,138,2071,533,0.63725576483013557
039522,138,2071,538,0.63979840459263715
039522,138,2071,539,0.60782495046165519
039522,138,2071,540,0.64083755668178177
039522,139,2071,447,0.60462337423594836
039522,139,2071,449,0.58805932942789485
039522,140,2071,545,0.63187374113621941
039522,140,2071,546,0.61432431194761183
039522,140,2071,549,0.58863890218605397
039522,140,2071,551,0.59606207492578811
039522,141,2071,144,0.61218619977102007
039522,141,2071,146,0.58750405712431031
039522,141,2071,148,0.61561575884765807
039522,141,2071,153,0.63202019720859337
039522,142,2071,467,0.62268478697173002
039522,142,2071,468,0.62549950890034045
039522,142,2071,469,0.62116279777297756
039522,142,2071,472,0.61380597014925375
039522,143,2071,594,0.59383233755149001
039522,143,2071,596,0.6288418430884184
039522,144,2071,232,0.62685359062358348
039522,144,2071,234,0.61206463496316144
039522,144,2071,235,0.6262611312563211
039522,144,2071,242,0.60001642530592136
039522,147,2071,116,0.62240537240537241
039522,149,2071,553,0.63368306801736618
039522,149,2071,557,0.64066220659938766
039522,150,2071,262,0.62331552749787544
039522,150,2071,266,0.60781537359829441
039522,151,2071,183,0.62399234179766228
039522,152,2071,427,0.64046951985315426
039522,152,2071,434,0.63500075335241823
039522,153,2071,494,0.63238779871769968
039522,153,2071,496,0.6415634282402376
039522,154,2071,92,0.60744442529726006
039522,155,2071,518,0.64544105698237186
039522,156,2071,64,0.59507783788247925
039522,157,2071,516,0.61501316944688322
039522,158,2071,545,0.59345737068084237
039522,159,2071,418,0.61476944019057345
039522,159,2071,420,0.61952519379844961
039522,160,2071,528,0.6302739505709537
039522,161,2071,519,0.61027931324816054
039522,161,2071,526,0.60855407902842562
039522,161,2071,527,0.64208801498127344
039522,161,2071,528,0.62139562663835157
039522,162,2071,357,0.64966288978368758
039522,162,2071,359,0.60487706569931476
039522,163,2071,447,0.6064641871041091
039522,164,2071,507,0.62970125821938072
039522,165,2071,505,0.61484554225197197
039522,166,2071,491,0.62092089526738425
039522,167,2071,345,0.60976462770608186
039522,169,2071,222,0.59086354527236296
039522,169,2071,226,0.65079562554058701
039522,169,2071,227,0.62457058727302472
039522,170,2071,437,0.6218625463189541
039522,171,2071,497,0.62452587592414011
039522,171,2071,500,0.58935097377064349
039522,172,2071,49,0.63640256959314778
039522,173,2071,535,0.62423744213213339
039522,174,2071,686,0.59939932526948081
039522,174,2071,687,0.61820182018201819
039522,174,2071,688,0.63072381742333683
039522,174,2071,691,0.59991101043604889
039522,174,2071,692,0.63634114969822897
039522,174,2071,695,0.58980190513860054
039522,174,2071,696,0.60574311214590604
039522,175,2071,489,0.62170605813637603
039522,175,2071,492,0.6296644863771117
039522,176,2071,515,0.61216560887359872
039522,176,2071,518,0.58432363049149105
039522,176,2071,520,0.63195523779919183
039522,177,2071,107,0.62724611907672922
039522,177,2071,108,0.61579598515384926
039522,177,2071,109,0.63350571930807842
039522,177,2071,111,0.62168319485392654
039522,177,2071,113,0.62100979653353428
039522,179,2071,293,0.63114666237907657
039522,179,2071,294,0.63286658801006213
039522,179,2071,297,0.6308693959874031
039522,180,2071,554,0.62117522498676547
039522,180,2071,556,0.61165048543689315
039522,180,2071,557,0.56761092775944266
039522,181,2071,93,0.56346602631311937
039522,181,2071,94,0.61053689348262996
039522,181,2071,96,0.5968544777680177
039522,181,2071,97,0.60806357821283197
039522,181,2071,98,0.61981601286414123
039522,182,2071,100,0.62778108978180513
039522,182,2071,103,0.6306122448979592
039522,183,2071,544,0.62188370662517645
039522,183,2071,545,0.58131337307976849
039522,184,2071,352,0.58491756014055318
039522,184,2071,354,0.62823038364767603
039522,185,2071,54,0.58496481126039668
039522,185,2071,55,0.62077132770255172
039522,185,2071,56,0.6147285365395454
039522,185,2071,63,0.62015617018171199
039522,186,2071,563,0.6079622744173393
039522,186,2071,566,0.59180122494432075
039522,187,2071,468,0.60435685649422788
039522,187,2071,474,0.61831810112433427
039522,190,2071,522,0.62225712789756771
039522,190,2071,523,0.59958811415122093
039522,190,2071,526,0.62719371903602317
039522,191,2071,488,0.62457915589367752
039522,191,2071,494,0.61560277093309779
039522,191,2071,496,0.56276676829268291
039522,192,2071,116,0.63696583325032374
039522,193,2071,520,0.63027713343914049
039522,194,2071,553,0.57877169559412545
039522,194,2071,555,0.62229536763638127
039522,194,2071,563,0.63239817159170075
039522,195,2071,53,0.62755429893329906
039522,196,2071,105,0.60867846199466247
039522,198,2071,499,0.63307053057745577
039522,198,2071,500,0.59034101053383325
039522,198,2071,503,0.60640399952386626
039522,201,2071,502,0.62199209565260893
039522,201,2071,507,0.60558440981932793
039522,202,2071,461,0.61341167454336443
039522,202,2071,463,0.62798286031876938
039522,203,2071,592,0.63490871544562821
039522,203,2071,594,0.61668457555924583
039522,205,2071,430,0.627897777840564
039522,205,2071,432,0.58042453813753703
039522,206,2071,465,0.64087440333221857
039522,207,2071,547,0.59252700548964055
039522,208,2071,94,0.60338207059518534
039522,208,2071,95,0.62176001450063445
039522,209,2071,456,0.61694637740483016
039522,209,2071,457,0.6405557427616061
039522,209,2071,459,0.64702246587122436
