sample,mean,median,percentile_16,percentile_84
0,-0.060681577771902084,0,-4,4
1,-0.046975266188383102,0,-3.5,4
2,-0.033985421061515808,0,-3.5,4
3,-0.010778144933283329,0,-3,4
4,0.012148776091635227,0,-3,4
5,0.022054700180888176,0,-3,4
6,0.025605881586670876,0,-3,3.5
7,0.049841132014989853,0,-3,3.5
8,0.038439974188804626,0,-3,3.5
9,0.047131020575761795,0,-3,3
10,0.052457790821790695,0,-3,3
11,0.054015327244997025,0,-3,3
12,0.079060494899749756,0,-3,3
13,0.059186343103647232,0,-2.5,3
14,0.0465703085064888,0,-2.5,3
15,0.063609741628170013,0,-2.5,3
16,0.07722260057926178,0,-2.5,3
17,0.076319232583045959,0,-2.5,3
18,0.07806367427110672,0,-2,3
19,0.097159057855606079,0,-2,3
20,0.10042987763881683,0,-2,3
21,0.10332689434289932,0,-2,2.5
22,0.091240420937538147,0,-2,2.5
23,0.10285963863134384,0,-2,2
24,0.10908977687358856,0,-2,2
25,0.12507009506225586,0,-2,2
26,0.12338794767856598,0,-2,2
27,0.13304467499256134,0,-2,2.5
28,0.15304341912269592,0,-2,2.5
29,0.14400972425937653,0,-2.5,2.5
30,0.15622079372406006,0,-2.5,2.5
31,0.17226341366767883,0,-2.5,2.5
32,0.16640707850456238,0,-3,2.5
33,0.17067472636699677,0,-3,2.5
34,0.17488007247447968,0,-3,2.5
35,0.18818141520023346,0,-3,3
36,0.21612361073493958,0,-3,3
37,0.23060868680477142,0,-3,3
38,0.23503208160400391,0,-3,3
39,0.24880069494247437,0,-3,3
40,0.27035698294639587,0,-3,3
41,0.28029406070709229,0,-3,3
42,0.30166345834732056,0,-3,3
43,0.31586816906929016,0,-3.5,3
44,0.34935519099235535,0,-3.5,3
45,0.37321662902832031,0,-4,3
46,0.40623638033866882,0,-4,3
47,0.46289950609207153,0,-4,3
48,0.53404772281646729,0,-4,3.5
49,0.6103358268737793,0,-4,4
50,0.70640456676483154,-0.5,-4,4
51,0.83758020401000977,-0.5,-4,4
52,1.0320229530334473,-0.5,-4,4
53,1.3430938720703125,-0.5,-4.5,4
54,1.8059934377670288,0,-4.5,4.5
55,2.6430752277374268,0,-4.5,5
56,4.3776402473449707,0,-4,7
57,8.9558906555175781,1.5,-3.5,12
58,22.748146057128906,9,-0.5,35
59,60.730918884277344,38,9,101
60,142.48355102539062,108,39.5,240
61,276.26776123046875,217,94,466.5
62,450.5145263671875,350,164.5,764
63,643.24371337890625,490,239,1092
64,835.49810791015625,625,310,1416
65,1016.2406005859375,755,374.5,1719
66,1180.4322509765625,870,432,2004
67,1325.8072509765625,971,484,2251
68,1451.3658447265625,1059.25,529,2461.9200000000001
69,1557.2740478515625,1132.5,566,2642
70,1644.5889892578125,1193,597.5,2788.8400000000001
71,1715.12451171875,1241,622.57999999999993,2908.4200000000001
72,1770.9117431640625,1279,643,3003
73,1814.3302001953125,1309.5,660,3075
74,1847.480712890625,1333,672,3127.9200000000001
75,1872.3912353515625,1352,681,3167
76,1890.7183837890625,1365.25,689,3197
77,1903.8458251953125,1374.5,694.07999999999993,3218
78,1913.1229248046875,1382,698,3235.9200000000001
79,1920.1817626953125,1388,701,3242
80,1927.225830078125,1394,705,3250
81,1936.5234375,1401,708,3262
82,1948.911376953125,1413,713,3281.4200000000001
83,1963.5965576171875,1423,719,3309
84,1978.941162109375,1435,725,3337.9200000000001
85,1993.4849853515625,1447,730.57999999999993,3363.4200000000001
86,2006.2501220703125,1458,735,3385
87,2016.7286376953125,1465,739,3405
88,2024.647216796875,1471,742,3420.4200000000001
89,2029.9063720703125,1474.75,743,3428.6800000000003
90,2032.531005859375,1476,744.57999999999993,3431.3400000000001
91,2032.6614990234375,1476,744,3433.6800000000003
92,2030.5587158203125,1474,744,3428.8400000000001
93,2026.4896240234375,1471,743,3421
94,2020.735595703125,1467,740,3414
95,2013.631591796875,1462,738,3401.8400000000001
96,2005.4552001953125,1457,735,3384.4200000000001
97,1996.467041015625,1450,731.07999999999993,3366.4200000000001
98,1986.873291015625,1444,728,3351.8400000000001
99,1976.8636474609375,1436.25,725,3333.9200000000001
100,1966.6197509765625,1429,721,3316
101,1956.3095703125,1421,718,3299.9200000000001
102,1946.123291015625,1415,714,3284
103,1936.1378173828125,1408,710,3266.5
104,1926.265869140625,1400.25,706,3248.9200000000001
105,1916.3673095703125,1392.75,703,3231
106,1906.314697265625,1384,699,3213
107,1895.9920654296875,1376,695,3196
108,1885.3607177734375,1368.5,691,3176
109,1874.3697509765625,1361,687,3155
110,1863.0098876953125,1353,682,3136.4200000000001
111,1851.283935546875,1345,679,3115.4200000000001
112,1839.2149658203125,1335.75,674,3097
113,1826.8475341796875,1326,669,3074.9200000000001
114,1814.1995849609375,1316,664,3054.5
115,1801.3070068359375,1306,658.5,3032
116,1788.2381591796875,1295.5,654,3014
117,1774.9500732421875,1284.75,649,2991.2600000000002
118,1761.512451171875,1274,644,2966.4200000000001
119,1747.9783935546875,1265,639,2945.5
120,1734.380126953125,1255,633,2922
121,1720.7442626953125,1245,627.57999999999993,2898.5
122,1707.0994873046875,1235,623,2874
123,1693.456298828125,1225,618,2850.8400000000001
124,1679.8262939453125,1215.75,613,2828.9200000000001
125,1666.232421875,1205.75,608,2804
126,1652.64306640625,1197,602.5,2778
127,1639.0902099609375,1187,597.07999999999993,2758
128,1625.5179443359375,1177,593,2734
129,1611.9439697265625,1167,588,2712.8400000000001
130,1598.3111572265625,1156.5,582,2690
131,1584.6458740234375,1146,577,2665
132,1570.9423828125,1136,572,2641.9200000000001
133,1557.2454833984375,1124.5,567,2618.7600000000002
134,1543.5223388671875,1115,561.5,2597
135,1529.813232421875,1105.5,556,2571.9200000000001
136,1516.120361328125,1095.75,551,2546
137,1502.44873046875,1086,546,2522
138,1488.77099609375,1075,541,2501
139,1475.139404296875,1065.25,536,2479.8400000000001
140,1461.5819091796875,1056,531,2457.5
141,1448.0765380859375,1045.5,526,2432.9200000000001
142,1434.6280517578125,1035,520.07999999999993,2409.5
143,1421.2330322265625,1026,515,2387
144,1407.9373779296875,1016.5,511,2364
145,1394.701416015625,1007.5,506,2339.9200000000001
146,1381.56103515625,998,501,2317.5
147,1368.4862060546875,988,496,2294
148,1355.4833984375,978,491,2271.9200000000001
149,1342.5877685546875,969,486,2251.8400000000001
150,1329.74072265625,959.5,481,2229
151,1316.945068359375,951,475.57999999999993,2207.8400000000001
152,1304.197021484375,942,471,2186.8400000000001
153,1291.495361328125,932,467,2164.9200000000001
154,1278.828857421875,922,461.57999999999993,2144
155,1266.2503662109375,912,457,2121
156,1253.7589111328125,903,452.5,2100
157,1241.3712158203125,894,448,2079
158,1229.080322265625,886,443,2059
159,1216.9090576171875,877,438,2038
160,1204.8468017578125,868.5,434,2018.4200000000001
161,1192.8846435546875,860,429,1999
162,1181.0018310546875,851,424.57999999999993,1979.8400000000001
163,1169.2000732421875,842,420.57999999999993,1957.5
164,1157.4573974609375,832,416.5,1938
165,1145.802490234375,824,412,1918
166,1134.2413330078125,815,408,1900.4200000000001
167,1122.779052734375,807,404,1881
168,1111.365478515625,799,400,1863
169,1100.0406494140625,790,396,1846
170,1088.7894287109375,782,391.5,1827
171,1077.623046875,774,387,1806.4200000000001
172,1066.556884765625,766,383,1789
173,1055.594482421875,758,379,1768.9200000000001
174,1044.735595703125,750,375,1751.9200000000001
175,1033.9501953125,741.75,371,1731.8400000000001
176,1023.25,734,367.5,1713.4200000000001
177,1012.6513671875,726,363,1695
178,1002.1234741210938,718,360,1678
179,991.68255615234375,711,356,1660
180,981.3065185546875,703,352,1645.8400000000001
181,971.0577392578125,695,348,1628.8400000000001
182,960.85601806640625,688,343.5,1611
183,950.74127197265625,681,340,1592
184,940.7674560546875,674,336,1576
185,930.87310791015625,666.5,332.5,1558
186,921.05987548828125,660,328,1542.4200000000001
187,911.3819580078125,654,324.5,1526.9200000000001
188,901.78082275390625,647,321,1511
189,892.2708740234375,639.5,317,1494
190,882.884765625,632.5,313,1479
191,873.611572265625,626,310,1464
192,864.43597412109375,619,307,1448
193,855.37322998046875,612,303,1434
194,846.3914794921875,605,300,1419.4200000000001
195,837.46551513671875,598.5,297,1406
196,828.625,592,293,1389
197,819.85467529296875,586,290,1374.9200000000001
198,811.1119384765625,579,287,1360
199,802.456787109375,573,284,1346
200,793.84820556640625,567,280,1331
201,785.32666015625,560.5,277,1316
202,776.87432861328125,554.5,274,1302
203,768.54302978515625,548,271,1287.4200000000001
204,760.26824951171875,543,268,1275
205,752.10443115234375,537,265,1260
206,744.0433349609375,531.5,262,1246.4200000000001
207,736.08221435546875,526,259,1233
208,728.1978759765625,520.75,255.07999999999993,1220
209,720.41217041015625,515,253,1206
210,712.6632080078125,509,250,1193.8400000000001
211,704.97650146484375,503.25,247,1180
212,697.39141845703125,498,244,1167
213,689.90679931640625,493,241,1154
214,682.5010986328125,487,238,1141.8400000000001
215,675.144287109375,482,235.57999999999993,1129
216,667.8729248046875,477,233,1117
217,660.69085693359375,470.5,231,1105
218,653.5792236328125,465,228,1093
219,646.54681396484375,460,225,1081.9200000000001
220,639.56793212890625,454,222.5,1070.5
221,632.662109375,449.25,220,1059
222,625.8333740234375,445,217,1046.5
223,619.04644775390625,440,214.5,1035
224,612.3072509765625,435,212,1025
225,605.64996337890625,430,210,1013
226,599.04156494140625,425.5,207,1002.4200000000001
227,592.50286865234375,421.25,205,992
228,586.01318359375,417,203,980
229,579.602783203125,411.75,200.07999999999993,970
230,573.27679443359375,407,198,959.5
231,566.99932861328125,402.5,196,948
232,560.7904052734375,398,193,938
233,554.643310546875,394,191,927
234,548.56146240234375,390,188.07999999999993,916.84000000000015
235,542.5101318359375,385.5,186,906.42000000000007
236,536.5035400390625,381,184,896
237,530.57403564453125,376,182,885.5
238,524.72467041015625,372,179.5,876
239,518.93109130859375,368,177,867
240,513.18408203125,364,175,857.5
241,507.52139282226562,360,173.5,847.5
242,501.90744018554688,356,171,838
243,496.36355590820312,352,169,828
244,490.85977172851562,347.5,167,818
245,485.4576416015625,344,165,808
246,480.07635498046875,340,163,799
247,474.76931762695312,336,161,790
248,469.50479125976562,332,159,780.42000000000007
249,464.29367065429688,328,157.5,772
250,459.14553833007812,325,156,764
251,454.06137084960938,321,154,755
252,449.00054931640625,317,152,746
253,444.0057373046875,313.5,150,737.42000000000007
254,439.05819702148438,310,148,730
255,434.16183471679688,306.75,146,722
256,429.29782104492188,303,144.5,715
257,424.47650146484375,299.5,143,707
258,419.71188354492188,296,141,699.42000000000007
259,414.99734497070312,293,139,691.92000000000007
260,410.31219482421875,290,137.5,683
261,405.6942138671875,286,136,675.5
262,401.12005615234375,283,134,668
263,396.58758544921875,280,132.5,660.42000000000007
264,392.0999755859375,276.5,131,652
265,387.68878173828125,273,129,644
266,383.28472900390625,270,127.5,636
267,378.929931640625,267,126,628.5
268,374.64663696289062,264,124.5,621
269,370.39920043945312,261,123,613.92000000000007
270,366.19598388671875,258,122,606.92000000000007
271,362.02792358398438,255,120,600
272,357.92318725585938,252,119,594
273,353.817626953125,249,117,586
274,349.77325439453125,246,115.5,579
275,345.76531982421875,243,114,573
276,341.77883911132812,240,113,566
277,337.83084106445312,237,111.5,558.92000000000007
278,333.91250610351562,235,110,552
279,330.013916015625,232,109,546
280,326.18588256835938,229,107,540
281,322.3721923828125,227,106,533.5
282,318.59426879882812,224,105,528
283,314.88528442382812,221.5,103,521
284,311.21221923828125,219,102,516
285,307.58364868164062,216,100.5,510
286,304.00958251953125,214,100,504
287,300.46533203125,211,98,498
288,296.9879150390625,209,97,492
289,293.51254272460938,206,96,486
290,290.08657836914062,204,94,480
291,286.68954467773438,201,93,473.92000000000007
292,283.341552734375,199,92,468
293,280.01211547851562,196,90.5,462
294,276.768310546875,194,89,458
295,273.49810791015625,192,88,452
296,270.26858520507812,189.25,87,446
297,267.11566162109375,187,85.5,440.5
298,263.950927734375,185,85,435
299,260.82168579101562,182.5,83.5,430
300,257.7279052734375,180,82.5,425
301,254.66989135742188,178,81,420
302,251.62815856933594,176,80,414
303,248.62654113769531,174,79,409
304,245.67179870605469,172,78,404
305,242.72724914550781,170,77,399.5
306,239.79023742675781,168,76,395
307,236.89208984375,165,75,390
308,234.03189086914062,163,74,385
309,231.17936706542969,161,73,380
310,228.35789489746094,159,71,376
311,225.55422973632812,157,70.5,371
312,222.75241088867188,155,69.5,366
313,220.0108642578125,153,68.079999999999927,361.92000000000007
314,217.25633239746094,151,67,357
315,214.55120849609375,149,66,353
316,211.85452270507812,147,65.5,349
317,209.19920349121094,145,64.5,345
318,206.57868957519531,144,64,340
319,203.95243835449219,142,63,335.5
320,201.38311767578125,140,62,331
321,198.84339904785156,138,61,326
322,196.35589599609375,136,60,322
323,193.8765869140625,135,59,318
324,191.41334533691406,133,58,314
325,188.99476623535156,131.5,58,311
326,186.62310791015625,130,57,307
327,184.25480651855469,128,56,303
328,181.89701843261719,126.5,55,299
329,179.5882568359375,125,54,295
330,177.27842712402344,123,53,291
331,174.98486328125,121.5,53,287.5
332,172.71379089355469,120,52,283.5
333,170.46488952636719,118,51,280
334,168.23658752441406,117,50,276
335,166.02865600585938,115,49.5,273
336,163.84518432617188,114,49,269
337,161.69354248046875,112,48,266
338,159.54701232910156,111,47,262
339,157.43592834472656,109,46,259
340,155.35562133789062,107.5,46,255
341,153.27861022949219,106,45,252
342,151.24179077148438,104.5,44,248
343,149.22964477539062,103,43.5,244.5
344,147.23826599121094,102,43,241
345,145.27384948730469,100,42,238
346,143.28614807128906,99,41,234.5
347,141.34518432617188,97,41,231
348,139.37644958496094,96,40,228
349,137.423095703125,94.5,39,225
350,135.51878356933594,93,38.5,222
351,133.62762451171875,92,38,219
352,131.75624084472656,91,37,216
353,129.8916015625,89.5,36.5,213
354,128.04914855957031,88,36,210.42000000000007
355,126.21566009521484,87,35,208
356,124.41682434082031,86,34,204
357,122.60999298095703,84,34,202
358,120.85060119628906,83,33,198.5
359,119.078125,82,32.5,195
360,117.31739807128906,81,32,192.5
361,115.61678314208984,79,31,190
362,113.9068603515625,78,30,187.5
363,112.23051452636719,77,30,185
364,110.55850219726562,76,29,182
365,108.88230895996094,75,28.5,179
366,107.24752044677734,73.5,28,176
367,105.60874938964844,72.5,27,173.5
368,103.99729156494141,71.5,27,171
369,102.37982177734375,70.5,26,168
370,100.78879547119141,69,26,165
371,99.231201171875,68,25,162.5
372,97.646125793457031,67,24.5,160
373,96.08856201171875,66,24,157.5
374,94.545974731445312,65,23,155
375,93.021713256835938,63.5,23,153
376,91.51055908203125,62.5,22,150
377,90.018035888671875,61,21,147
378,88.527473449707031,60,21,145
379,87.054946899414062,59,20,142.5
380,85.589187622070312,58,20,140
381,84.125129699707031,57,19,138
382,82.698432922363281,56,19,136
383,81.26434326171875,55,18,133
384,79.872970581054688,54,17.5,131
385,78.48187255859375,53,17,128
386,77.089027404785156,52,16,126.42000000000007
387,75.711326599121094,51,16,124
388,74.360633850097656,50,15,122
389,73.011650085449219,49,15,120
390,71.68017578125,48,14,117
391,70.387298583984375,47,14,115.5
392,69.069465637207031,46.5,13,113.5
393,67.798545837402344,46,13,111.5
394,66.526885986328125,45,12,110
395,65.270072937011719,44,12,108
396,64.020683288574219,43,11,106
397,62.787834167480469,42,11,104
398,61.564418792724609,41,10,102
399,60.323749542236328,40,10,100
400,59.116191864013672,39,9,98
401,57.914302825927734,39,9,96
402,56.746746063232422,38,8,94
403,55.579620361328125,37,8,93
404,54.429630279541016,36,7.5,91
405,53.269920349121094,35,7,89
406,52.142543792724609,34.5,6.5,87.5
407,51.003864288330078,34,6,86
408,49.869293212890625,33,5.5,84
409,48.754718780517578,32,5,83
410,47.645069122314453,31,4.5,81
411,46.525138854980469,30,4,79
412,45.443553924560547,30,3.5,77
413,44.359851837158203,29,3,76
414,43.294033050537109,28,2.5,74
415,42.247024536132812,27,2,73
416,41.210391998291016,26,1.5,71
417,40.159523010253906,25.5,1,70
418,39.130928039550781,25,0.5,68
419,38.118465423583984,24,0,67
420,37.118122100830078,23,-0.5,65
421,36.126377105712891,22.5,-1,64
422,35.156906127929688,22,-1,62
423,34.200206756591797,21,-2,61
424,33.236370086669922,20,-2.5,59
425,32.280635833740234,20,-3,58
426,31.310323715209961,19,-3,57
427,30.350383758544922,18,-4,55
428,29.398138046264648,17.5,-4,54
429,28.476293563842773,17,-5,53
430,27.563079833984375,16,-5,52
431,26.640769958496094,15,-6,50
432,25.765840530395508,14.5,-6,49
433,24.874805450439453,14,-7,48
434,23.978536605834961,13,-7.5,47
435,23.102018356323242,12.5,-8,45
436,22.262475967407227,12,-8.5,44
437,21.390443801879883,11,-9,43
438,20.573951721191406,10.5,-9,42
439,19.736526489257812,10,-10,41
440,18.867485046386719,9,-10.5,40
441,18.046009063720703,9,-11,39
442,17.219144821166992,8,-12,38
443,16.389415740966797,7,-12,37
444,15.555728912353516,7,-13,36
445,14.770512580871582,6,-13,35
446,13.981465339660645,6,-14,34
447,13.203227043151855,5,-14,33
448,12.412466049194336,4,-15,32
449,11.618528366088867,4,-16,31
450,10.846488952636719,3,-16,30
451,10.073951721191406,3,-17,29
452,9.3220357894897461,2,-17.5,29
453,8.5695905685424805,1.75,-18,28
454,7.8409132957458496,1,-19,27
455,7.088716983795166,0.5,-19,26
456,6.3348388671875,0,-20,25.5
457,5.6026725769042969,-1,-21,25
458,4.851473331451416,-1,-21.5,24
459,4.1460967063903809,-2,-22,23
460,3.426546573638916,-2,-22.5,22.5
461,2.7090835571289062,-3,-23,22
462,2.0030527114868164,-3,-24,21
463,1.2841567993164062,-4,-25,20.5
464,0.60472869873046875,-4,-25,20
465,-0.079621210694313049,-5,-26,19
466,-0.73693227767944336,-5,-27,19
467,-1.4123107194900513,-6,-27.5,18
468,-2.0783441066741943,-6,-28,18
469,-2.7382407188415527,-7,-29,17
470,-3.3555541038513184,-7,-29.5,16.5
471,-3.9707183837890625,-7,-30,16
472,-4.608217716217041,-8,-31,15
473,-5.2178678512573242,-8,-32,15
474,-5.8202290534973145,-9,-32,14
475,-6.4236183166503906,-9,-33,14
476,-7.027381420135498,-9.5,-34,13
477,-7.6176562309265137,-10,-34.5,13
478,-8.2067785263061523,-10,-35,12
479,-8.8190145492553711,-11,-36,12
480,-9.3953962326049805,-11,-36.5,11.5
481,-9.9660768508911133,-11.5,-37,11
482,-10.52918815612793,-12,-38,11
483,-11.101457595825195,-12,-38.5,10
484,-11.69886589050293,-12.5,-39,10
485,-12.269889831542969,-13,-40,9
486,-12.82530689239502,-13,-41,9
487,-13.390816688537598,-13.5,-41.5,9
488,-13.961186408996582,-14,-42,8
489,-14.494174957275391,-14,-43,8
490,-15.050837516784668,-15,-43.5,8
491,-15.588125228881836,-15,-44,7
492,-16.110023498535156,-15,-45,7
493,-16.646938323974609,-15.5,-46,7
494,-17.16064453125,-16,-46.420000000000073,6
495,-17.692136764526367,-16,-47,6
496,-18.225500106811523,-17,-48,5.5
497,-18.732633590698242,-17,-48.420000000000073,5
498,-19.250886917114258,-17,-49,5
499,-19.755186080932617,-18,-50,4.5
500,-20.242321014404297,-18,-50.5,4
501,-20.756464004516602,-18,-51,4
502,-21.220422744750977,-19,-52,4
503,-21.689676284790039,-19,-52,3
504,-22.167995452880859,-19,-53,3
505,-22.623605728149414,-19.5,-53.5,3
506,-23.085664749145508,-20,-54,2.5
507,-23.516229629516602,-20,-55,2
508,-23.990373611450195,-20,-55.5,2
509,-24.431062698364258,-21,-56,1.5
510,-24.868450164794922,-21,-56.5,1
511,-25.323593139648438,-21,-57,1
512,-25.735311508178711,-21.5,-58,1
513,-26.18768310546875,-22,-58.5,0.5
514,-26.616783142089844,-22,-59,0
