sample,mean,median,percentile_16,percentile_84
88,2870.630126953125,2373,955.44000000000005,4953.1199999999999
89,2877.87841796875,2380,957,4971.2399999999998
90,2881.2392578125,2383,957.94000000000005,4977.1800000000003
91,2880.947998046875,2384.5,960,4974.1199999999999
92,2877.386474609375,2385.5,960.5,4969
93,2871.0703125,2382.5,959.44000000000005,4957.1800000000003
94,2862.351318359375,2376.5,955.88000000000011,4940.2399999999998
95,2851.59423828125,2368,953.88000000000011,4918.1199999999999
96,2839.28857421875,2358,949.88000000000011,4894.1199999999999
97,2825.74658203125,2347,942,4872.5999999999995
98,2811.2373046875,2336,939,4849.3599999999997
99,2796.001220703125,2321,933.44000000000005,4822.2399999999998
100,2780.3193359375,2309,928,4796
101,2764.536865234375,2296,922.44000000000005,4768
102,2748.979248046875,2282.5,916,4738
103,2733.744384765625,2268,911.32000000000016,4709.1199999999999
104,2718.768798828125,2258,906,4681.5399999999991
105,2703.843994140625,2243,900.88000000000011,4656.1199999999999
106,2688.756591796875,2230.5,896,4627.5599999999995
107,2673.258056640625,2217,891,4604.1199999999999
108,2657.3388671875,2206,886,4575
109,2640.890869140625,2193,881,4551
110,2623.8642578125,2175,875.88000000000011,4515
111,2606.25244140625,2160,866.88000000000011,4485.1199999999999
112,2588.104248046875,2146,859.94000000000005,4451.1199999999999
113,2569.5927734375,2131.5,852,4419
114,2550.67333984375,2115,844.44000000000005,4383.1199999999999
115,2531.4228515625,2101,838.5,4350
116,2511.89599609375,2081,831.94000000000005,4318.6800000000003
117,2492.19580078125,2065,824,4289.2999999999993
118,2472.377685546875,2049,816,4254
119,2452.462646484375,2028,808.5,4221.1199999999999
120,2432.497802734375,2013,802,4185
121,2412.446533203125,1996.5,793.88000000000011,4150.6800000000003
122,2392.4619140625,1979,786,4115.1199999999999
123,2372.514404296875,1960.5,777.44000000000005,4081.0599999999999
124,2352.606689453125,1947,770.94000000000005,4048
125,2332.7333984375,1929,764,4013.2999999999997
126,2312.864990234375,1910,757,3980.1199999999999
127,2292.990234375,1893,752,3947
128,2273.114013671875,1880,744.88000000000011,3916
129,2253.199951171875,1863,737,3881
130,2233.270263671875,1844,729.94000000000005,3851
131,2213.31640625,1828,724,3814
132,2193.353271484375,1813,718.94000000000005,3781
133,2173.35107421875,1796,712.44000000000005,3750
134,2153.353271484375,1779,706,3715.5599999999999
135,2133.40576171875,1759,699,3679.1199999999999
136,2113.54345703125,1744,693,3647.5599999999999
137,2093.66552734375,1727,686,3611.1199999999999
138,2073.867919921875,1707,678.88000000000011,3578.1199999999999
139,2054.1103515625,1691.5,670.82000000000016,3544
140,2034.470703125,1677,663.44000000000005,3512.1199999999999
141,2014.83447265625,1657,655,3481.5599999999999
142,1995.25732421875,1642.5,649,3442.4199999999996
143,1975.8006591796875,1627,642,3409
144,1956.4039306640625,1610,634,3377.5599999999999
145,1937.1343994140625,1595,626,3344
146,1918.0283203125,1578.5,619,3311.3599999999997
147,1899.1055908203125,1563.5,613,3280.5599999999999
148,1880.283447265625,1546,606,3247.5599999999999
149,1861.593994140625,1532.5,599.88000000000011,3216.5599999999999
150,1842.997314453125,1517,593,3182.6799999999998
151,1824.5413818359375,1501,587,3150.6799999999998
152,1806.1531982421875,1484,580,3118.9199999999996
153,1787.8876953125,1468,575.44000000000005,3089.5599999999999
154,1769.7359619140625,1454,569.44000000000005,3058.5599999999999
155,1751.6453857421875,1438,563.88000000000011,3027.6199999999999
156,1733.6436767578125,1423,557.94000000000005,2999.1199999999999
157,1715.718017578125,1409,552.44000000000005,2968.1199999999999
158,1697.9229736328125,1395,546,2940.0599999999999
159,1680.22216796875,1381,540.44000000000005,2908.0599999999999
160,1662.646728515625,1368,534.32000000000016,2877.1199999999999
161,1645.2095947265625,1354,528,2847.0599999999999
162,1627.8779296875,1340.5,522.44000000000005,2818.1799999999998
163,1610.6688232421875,1325,516.44000000000005,2787
164,1593.622314453125,1310,511,2757.5
165,1576.67138671875,1295,506.94000000000005,2727.0599999999999
166,1559.874267578125,1281,500,2699.1199999999999
167,1543.207763671875,1268,496,2672.1199999999999
168,1526.7342529296875,1254,490,2645
169,1510.424560546875,1241.5,486,2618
170,1494.2568359375,1227,480,2592
171,1478.2265625,1213,474.94000000000005,2566
172,1462.28857421875,1199,469,2537
173,1446.5203857421875,1186,463,2513.1199999999999
174,1430.8585205078125,1173,458,2486
175,1415.3707275390625,1162,452,2460
176,1400.02685546875,1149,446,2435
177,1384.853759765625,1136,441.94000000000005,2406.1199999999999
178,1369.7686767578125,1123,436,2379
179,1354.8687744140625,1112,430.44000000000005,2350
180,1340.09228515625,1100.5,424.44000000000005,2325.2399999999998
181,1325.470458984375,1089,420,2300
182,1310.985107421875,1076,416,2277.2399999999998
183,1296.6724853515625,1065.5,411,2250
184,1282.476806640625,1055,406,2223
185,1268.457275390625,1041,401,2202.1199999999999
186,1254.5172119140625,1030,397,2177.5599999999999
187,1240.679443359375,1019,391.44000000000005,2153
188,1226.956787109375,1008,387,2130.5599999999999
189,1213.40283203125,996.5,382,2105.2399999999998
190,1199.9332275390625,986.5,377,2079
191,1186.55810546875,976.5,372,2057
192,1173.3009033203125,966,367,2036
193,1160.252197265625,955,364,2015.0599999999999
194,1147.291748046875,944,359,1995
195,1134.45654296875,935,355,1972.1199999999999
196,1121.8226318359375,924,350,1949
197,1109.263916015625,914.5,346,1926.1199999999999
198,1096.8253173828125,905,340.94000000000005,1904
199,1084.5390625,895,335.88000000000011,1883.1199999999999
200,1072.307861328125,884,331,1862.1199999999999
201,1060.144775390625,876,327.88000000000011,1841
202,1048.1983642578125,866,324,1821.0599999999999
203,1036.3331298828125,855.5,320,1799.5599999999999
204,1024.591064453125,846,316,1780.5599999999999
205,1012.97265625,834,312,1761
206,1001.443603515625,827,308,1742
207,990.053466796875,818,304,1721
208,978.78424072265625,807,299.5,1703
209,967.61944580078125,800,296.44000000000005,1683
210,956.59661865234375,790,293,1662.0599999999999
211,945.69805908203125,781,288,1643
212,934.8514404296875,772,284,1625.0599999999999
213,924.10784912109375,763,281,1608.1199999999999
214,913.50146484375,754.5,276.5,1591.5599999999999
215,902.96319580078125,745.5,272.5,1575
216,892.51171875,736.5,268.94000000000005,1557
217,882.21014404296875,728,264.44000000000005,1538.5599999999999
218,872.02093505859375,721,261.5,1519.5599999999999
219,861.91748046875,711,258.5,1503
220,851.97027587890625,704,255,1483.6799999999998
221,842.1173095703125,696.5,251,1469
222,832.39349365234375,689,248,1452.2399999999998
223,822.78143310546875,682,245,1439
224,813.2490234375,674,242,1423
225,803.78204345703125,667,238.5,1405.0599999999999
226,794.419921875,658.5,235,1390
227,785.150146484375,649,232,1373
228,775.9368896484375,643,228,1359.0599999999999
229,766.84014892578125,634,226,1342
230,757.83489990234375,626,222,1326.5599999999999
231,748.93609619140625,617,219,1313.5599999999999
232,740.11480712890625,609,216,1297.1199999999999
233,731.3402099609375,601,212,1282
234,722.66680908203125,594,209,1267.5599999999999
235,714.08447265625,587.5,206,1252.1199999999999
236,705.57061767578125,582,204,1238
237,697.1966552734375,575,200,1224.5
238,688.92559814453125,569,197.5,1209.5599999999999
239,680.75714111328125,562,194.94000000000005,1195
240,672.69671630859375,554,192,1181
241,664.697509765625,547,189,1166.1199999999999
242,656.8028564453125,541,186,1153
243,648.9593505859375,535,183,1142
244,641.226318359375,529,180,1130
245,633.51220703125,523,177.5,1117.0599999999999
246,625.92333984375,517,175,1106.0599999999999
247,618.38262939453125,510,172,1093.5599999999999
248,610.91064453125,505,169.44000000000005,1083
249,603.511962890625,498,166,1069.5599999999999
250,596.1640625,493,164,1058.5599999999999
251,588.9122314453125,487,161.44000000000005,1047
252,581.78759765625,480,159,1036.5599999999999
253,574.6871337890625,473,156,1025
254,567.69281005859375,468,153.5,1012.0599999999999
255,560.7510986328125,462,151,1000.1199999999999
256,553.8878173828125,456,148.5,988.55999999999995
257,547.11309814453125,451,146,976.55999999999995
258,540.427490234375,445,143,966
259,533.8134765625,440,140.94000000000005,955
260,527.262451171875,434.5,138.94000000000005,945
261,520.754638671875,429.5,135.94000000000005,935.5
262,514.314453125,424.5,133,924
263,507.94952392578125,420,131,912
264,501.59375,415,128,900.11999999999989
265,495.32107543945312,409.5,126,889.55999999999995
266,489.1085205078125,403,125,878.05999999999995
267,482.95855712890625,397.5,122,867
268,476.8466796875,393,120,856
269,470.77313232421875,387,117.5,845
270,464.84246826171875,382,115.94000000000005,833
271,458.94122314453125,378,113,822.05999999999995
272,453.08956909179688,373,110.5,812.55999999999995
273,447.33145141601562,368,109,804
274,441.650634765625,363.5,107,795
275,436.011474609375,358,105,786
276,430.4671630859375,354.5,103.5,776.55999999999995
277,424.95855712890625,349,101,767
278,419.5294189453125,345,99,759
279,414.1328125,340,97.5,749.11999999999989
280,408.76239013671875,335.5,96,740
281,403.4755859375,330,95,732
282,398.27923583984375,326,93.5,724
283,393.12503051757812,321.5,92,715
284,387.99172973632812,318,90.940000000000055,706
285,382.94622802734375,312.5,90,696
286,377.92660522460938,308,88.5,688
287,372.9764404296875,304,87,680
288,368.06927490234375,299.5,86.5,672
289,363.1844482421875,295,85.440000000000055,662
290,358.338623046875,291,84,653
291,353.59375,287.5,82.5,644
292,348.90231323242188,283.5,81.5,637
293,344.20294189453125,280,80,629
294,339.63262939453125,276,79,621.05999999999995
295,335.08102416992188,272,78.940000000000055,612.55999999999995
296,330.50021362304688,268.5,77.5,606
297,325.96035766601562,265,76,598
298,321.46987915039062,261,75,591
299,317.04486083984375,256,74,584
300,312.66571044921875,252,73,577
301,308.28790283203125,248.5,72,570
302,303.9541015625,244,71,563.55999999999995
303,299.68325805664062,241,70,555.11999999999989
304,295.4512939453125,237,69,548
305,291.22152709960938,234,68.440000000000055,540.55999999999995
306,287.07977294921875,230,67.5,533.55999999999995
307,282.97860717773438,227,66.5,527
308,278.8883056640625,224,65,519.11999999999989
309,274.84988403320312,220,64,513
310,270.87222290039062,216,64,506
311,266.96652221679688,214,63,498.11999999999989
312,263.11044311523438,210.5,62,491.5
313,259.34945678710938,207,61.440000000000055,484
314,255.62738037109375,204,61,477
315,251.89981079101562,201,60,470.5
316,248.27899169921875,197,60,463
317,244.617919921875,194.5,59,457.55999999999995
318,241.037353515625,192,58,451
319,237.42085266113281,188.5,57,444
320,233.85203552246094,185,56,438
321,230.30294799804688,182,55,432
322,226.79695129394531,179,54,425
323,223.29405212402344,175,53.5,420
324,219.83070373535156,172.5,52.5,414
325,216.38528442382812,170,51.940000000000055,409.05999999999995
326,213.02981567382812,167,51,403
327,209.66250610351562,164,50,398
328,206.35562133789062,161,49,393
329,203.10896301269531,158,48,386.5
330,199.8499755859375,155,47,380
331,196.64517211914062,153,46,374.5
332,193.51881408691406,150,45,369
333,190.40158081054688,148,45,363
334,187.33851623535156,145,44,357
335,184.24671936035156,142,43,352
336,181.24809265136719,140,42,347.05999999999995
337,178.27865600585938,137,42,342.05999999999995
338,175.30351257324219,135,41,337
339,172.38162231445312,132,40,332
340,169.51243591308594,129,40,327
341,166.64950561523438,127,39,322
342,163.80778503417969,124,38,317
343,160.9923095703125,121,37.440000000000055,312
344,158.233154296875,118.5,37,307
345,155.50410461425781,116,36,302.11999999999989
346,152.72761535644531,114,35,297.05999999999995
347,149.99685668945312,111,34,292.55999999999995
348,147.31617736816406,108,33.5,288
349,144.63890075683594,106,33,283
350,142.01487731933594,103,32,279
351,139.37832641601562,101,32,274
352,136.82192993164062,100,31,270
353,134.28047180175781,98,30,265
354,131.80938720703125,96,30,260.5
355,129.34172058105469,94,29,256
356,126.93630981445312,92,28.940000000000055,252
357,124.55496978759766,90,28,248
358,122.18685150146484,89,27.440000000000055,243.5
359,119.80789947509766,87.5,27,239
360,117.46373748779297,86,26.440000000000055,235
361,115.16974639892578,84.5,26,231
362,112.83892059326172,83,25.5,227.5
363,110.59955596923828,82,25,223
364,108.34205627441406,80.5,24,219
365,106.11637878417969,79,23.5,214.5
366,103.94178009033203,78,23,212
367,101.82501220703125,76,22,207
368,99.737655639648438,75,22,203.5
369,97.623161315917969,73.5,21,199.55999999999995
370,95.569564819335938,73,21,195.5
371,93.456436157226562,71,20,191.05999999999995
372,91.426101684570312,70,19,187
373,89.403297424316406,69,18.940000000000055,183
374,87.420974731445312,67.5,18,180
375,85.444694519042969,66,17.5,176
376,83.484603881835938,65,17,172
377,81.593513488769531,64,16.5,169
378,79.684288024902344,63,16,166
379,77.805282592773438,61,15,162
380,75.940643310546875,60,15,159
381,74.104286193847656,59,14,155
382,72.302375793457031,57.5,14,151.05999999999995
383,70.453582763671875,56,13,148.5
384,68.712112426757812,55,12.5,145
385,66.955467224121094,54,12,142
386,65.208518981933594,53,11.5,138.05999999999995
387,63.493499755859375,52,11,135
388,61.810523986816406,51,10,132
389,60.118999481201172,50,10,128
390,58.435909271240234,49,9,125.05999999999995
391,56.801174163818359,48,9,122
392,55.142833709716797,47,8.5,118.5
393,53.527370452880859,46,8,116
394,51.961627960205078,45,7,113
395,50.380260467529297,44,7,109
396,48.837551116943359,42,6,106
397,47.262916564941406,42,6,103
398,45.770954132080078,40,5,100.5
399,44.264053344726562,39,4,98
400,42.788059234619141,38.5,4,95
401,41.292221069335938,37,3.5,92.5
402,39.855686187744141,36,3,90.5
403,38.434658050537109,35,2.5,88
404,37.003250122070312,34,2,87
405,35.598983764648438,34,1,84
406,34.285495758056641,33,1,82.5
407,32.933345794677734,32,0,80
408,31.565572738647461,31,0,78
409,30.255046844482422,30,-1,76.5
410,28.949766159057617,29,-1,74.559999999999945
411,27.654293060302734,28,-2,73
412,26.381628036499023,27,-3,71.5
413,25.103261947631836,26,-3,69.559999999999945
414,23.870624542236328,25,-4,67.5
415,22.640495300292969,24,-4,66
416,21.397706985473633,23,-5,64
417,20.198026657104492,22,-5,62
