sample,mean,median,percentile_16,percentile_84
250,458.47958374023438,325,155,764
251,453.34213256835938,322,154,755
252,448.24649047851562,318,152,747.42000000000007
253,443.22021484375,314,150,739
254,438.23361206054688,310.5,148,731
255,433.30490112304688,307,146,723
256,428.43576049804688,303.5,144,714
257,423.62240600585938,300,142.5,706.5
258,418.8829345703125,296,141,698
259,414.16778564453125,293,139,691
260,409.52584838867188,289,137,682.92000000000007
261,404.92465209960938,286,136,674
262,400.35467529296875,282,134,666
263,395.82089233398438,279,132,658.42000000000007
264,391.36209106445312,276,131,651
265,386.95819091796875,273,129.5,643.5
266,382.55557250976562,270,128,636
267,378.22720336914062,267,126,629
268,373.94461059570312,264,125,621
269,369.69793701171875,261,123,614
270,365.4935302734375,258,121.57999999999993,606
271,361.31069946289062,255,120,600
272,357.17880249023438,252.5,118.5,593
273,353.09701538085938,250,117,586
274,349.05422973632812,247,115.5,578.5
275,345.01382446289062,244,114,572
276,341.0184326171875,241,112,564.5
277,337.08010864257812,238,111,558.5
278,333.18475341796875,235,109.57999999999993,551.5
279,329.29129028320312,232.5,108,545
280,325.44464111328125,230,107,538.92000000000007
281,321.66217041015625,227,105,532
282,317.89425659179688,224,104,527
283,314.17926025390625,221.5,102.5,520
284,310.51028442382812,219,101,515
285,306.86639404296875,216,100,509
286,303.27438354492188,213.75,99,503
287,299.69338989257812,211,97.5,496.5
288,296.14715576171875,208,96,490
289,292.63629150390625,206,95,484
290,289.19290161132812,203,94,479
291,285.76901245117188,201,92.5,473
292,282.40115356445312,198,91.5,467
293,279.07534790039062,196,90,462
294,275.78280639648438,193.5,89,457
295,272.52044677734375,191,88,451
296,269.26980590820312,188,86.5,446.42000000000007
297,266.08157348632812,186,85.5,440
298,262.90005493164062,184,84,435.42000000000007
299,259.73446655273438,181,83,430
300,256.61831665039062,179,82,425
301,253.52854919433594,177,81,420
302,250.444580078125,175,80,415
303,247.38925170898438,172,79,410
304,244.39164733886719,170.5,78,405
305,241.41354370117188,168,76.579999999999927,400
306,238.48921203613281,166,76,395
307,235.57464599609375,164.5,75,390
