sample,mean,mean_uncertainty,median,percentile_16,percentile_84
0,0.54275078959241996,0.19363115440056985,1,-5,6.5
1,0.55493307264250258,0.18830760619203374,1,-4.5,6
2,0.56944653331328021,0.18259766774217268,1,-4.5,6
3,0.59930064671379157,0.17610466048525555,1,-4,6
4,0.63441870958038804,0.16971550797664434,1,-4,6
5,0.67547751541585199,0.16301738222244866,1,-4,6
6,0.67058956234020151,0.15724830916501595,1,-4,6
7,0.69728530606106176,0.15294027849760958,1,-4,6
8,0.70864039705218829,0.14920181877389008,0.5,-4,5.5
9,0.74180327868852458,0.14572698761615194,0.5,-4,5.5
10,0.77120619642051436,0.1420776596657494,0.5,-4,5
11,0.79135960294781171,0.13815284621933765,0.5,-3.5,5
12,0.79060761016694237,0.13422609365353219,0.5,-3.5,5
13,0.74202887652278537,0.13071050346301913,0.5,-3,5
14,0.66367122875620399,0.1272564739898171,0,-3.5,5
15,0.61637088283952479,0.12307998450418281,0,-3.5,5
16,0.5950142878628365,0.11776842318949854,0,-3,4.5
17,0.6148668972777861,0.11216816433198452,0,-3,4.5
18,0.59832305609866143,0.10725527987373044,0,-3,4.5
19,0.63990825688073394,0.10314905562703232,0,-3,4
20,0.62945555722665059,0.098259095274002145,0,-3,4
21,0.59922544743570461,0.091211050228602042,0,-3,4
22,0.58982553767483836,0.080994272196363543,0,-3,4
23,0.64449541284403666,0.068323362528944595,0,-3,4
24,0.66953677244698451,0.057253009704806103,0,-3,4
25,0.69533012483080159,0.056861688148735545,0,-3,4
26,0.70548202737253718,0.072522743328380823,0,-3,4
27,0.73104978192209358,0.095545698825597547,0,-3,4
28,0.76406226500225594,0.11924998285168419,0,-3.5,4
29,0.79399157768085427,0.14051601271526973,0,-3.5,4
30,0.84309670627161981,0.15919495145140342,0,-4,4
31,0.90115054895473001,0.17744177574566491,0,-4,4
32,0.98740412092043917,0.19554151451627624,0,-4,4
33,1.1207324409685666,0.21386803798715187,0,-4,4
34,1.15494811249812,0.23082450558897374,0,-4,4
35,1.1712663558429839,0.24543473332689736,0,-4,4
36,1.2515791848398254,0.25623336821357201,0,-4,4
37,1.3132425928711084,0.26508016300433496,-0.5,-4,4
38,1.3704692434952623,0.27351399878541161,-0.5,-4,4
39,1.4362686118213266,0.28259457688527295,-0.5,-4.5,4
40,1.4765002255978343,0.29277403386300083,-0.5,-5,4
41,1.5475635433899835,0.30287089694595654,-0.5,-5,4
42,1.6539705218829899,0.31240248179774738,-1,-5,4
43,1.7689502180779064,0.32164225762251369,-1,-5,4
44,1.9028801323507294,0.33148182126129555,-1,-5,4.5
45,2.0287637238682508,0.34351601837948376,-1,-5,4.5
46,2.1561513009475108,0.3596693603040847,-1,-5,4.5
47,2.2766205444427734,0.37928772811431383,-1,-5.5,4.5
48,2.3803955482027375,0.40012001029167849,-1,-5.5,5
49,2.4761994284854865,0.41940760950926548,-1,-6,5
50,2.5321476913821628,0.43455823913338038,-1,-6,5
51,2.5637313881786734,0.44474987691485396,-1,-6,5.5
52,2.5986990524890961,0.45044160957843199,-1,-6,6
53,2.6707399608963756,0.45406275780348682,-1,-6,6
