sample,mean,median,percentile_16,percentile_84
0,-0.022534171119332314,0,-3,4
1,0.0088043343275785446,0,-3,4
2,0.024873783811926842,0,-3,4
3,0.049932274967432022,0,-3,4
4,0.056704837828874588,0,-3,3.5
5,0.058675039559602737,0,-3,3.5
6,0.072897426784038544,0,-3,3
7,0.071573697030544281,0,-3,3
8,0.08705824613571167,0,-3,3
9,0.083671964704990387,0,-3,3
10,0.081701762974262238,0,-3,3
11,0.083671964704990387,0,-2.5,3
12,0.10134220123291016,0,-2.5,3
13,0.11830439418554306,0,-2,3
14,0.1203053817152977,0,-2,3
15,0.12369166314601898,0,-2,3
16,0.13203422725200653,0,-2,3
17,0.10614456236362457,0,-2,3
18,0.10897672921419144,0,-2,3
19,0.1245536282658577,0,-2,3
20,0.11654968559741974,0,-2,2.5
21,0.11694988608360291,0,-2,2.5
22,0.10826868563890457,0,-2,2.5
23,0.10780692100524902,0,-2,2
24,0.11039280891418457,0,-2,2
25,0.11036202311515808,0,-2,2
26,0.11824283003807068,0,-2,2
27,0.11107006669044495,0,-2,2
28,0.13194188475608826,0,-2,2
29,0.12987932562828064,0,-2.5,2
30,0.13314247131347656,0,-2.5,2.5
31,0.11932028084993362,0,-2.5,2
32,0.12680087983608246,0,-3,2.5
33,0.12895579636096954,0,-3,2.5
34,0.14123876392841339,0,-3,2.5
35,0.14013051986694336,0,-3,2.5
36,0.14671838283538818,0,-3,2.5
37,0.14400935173034668,0,-3,2.5
38,0.16020195186138153,0,-3,3
39,0.15287525951862335,0,-3,3
40,0.15967860817909241,0,-3,3
41,0.15632311999797821,0,-3,3
42,0.17577885091304779,0,-3,3
43,0.19271025061607361,0,-3,3
44,0.20881049335002899,0,-3,3
45,0.21235069632530212,0,-3.5,3
46,0.24218076467514038,0,-3.5,3
47,0.2724418044090271,0,-4,3
48,0.31427779793739319,0,-4,3
49,0.37384557723999023,0,-4,3
50,0.42790296673774719,0,-4,3
51,0.53567910194396973,0,-4,3
52,0.70197635889053345,0,-4,3.5
53,0.99778354167938232,0,-4,4
54,1.4157123565673828,0,-4,4
55,2.2473833560943604,0,-4,4
56,4.0201945304870605,0,-4,6
57,8.9463119506835938,2,-3,12.5
58,23.674392700195312,10,0,39
59,62.292728424072266,41,10.5,106.5
60,140.94929504394531,109,41,235
61,264.25436401367188,208,95.5,435.35999999999876
62,419.820556640625,324.5,164,689
63,588.23529052734375,448.5,234.5,962
64,753.98077392578125,566,300,1227
65,908.588623046875,677.25,361,1475
66,1048.4278564453125,777,414,1698
67,1172.085693359375,864,462,1898
68,1279.082275390625,940,504,2071
69,1369.74951171875,1005,539,2213
70,1445.0369873046875,1058,568,2331.7199999999975
71,1506.3126220703125,1100,591,2429
72,1555.23876953125,1134,610,2508.7199999999975
73,1593.6568603515625,1160,625,2568.3599999999988
74,1623.3009033203125,1180,637,2614.3599999999988
75,1645.9068603515625,1196.75,646,2651
76,1662.85400390625,1208,653,2676.7199999999975
77,1675.358642578125,1217,658,2697
78,1684.7860107421875,1224.5,662,2712.3599999999988
79,1693.066650390625,1231.5,667,2722.0799999999963
80,1702.4576416015625,1239.5,672,2737.7199999999975
81,1714.4996337890625,1250,677.63999999999987,2760
82,1728.968994140625,1262,683,2783.3599999999988
83,1744.425537109375,1273,689,2809.8599999999988
84,1759.40576171875,1284,696,2833.8599999999988
