sample,mean,median,percentile_16,percentile_84
53,1.0716973543167114,0,-4,4
54,1.4841170310974121,0,-4.5,4
55,2.2250237464904785,0,-4.5,5
56,3.7822458744049072,0,-4,6
57,7.8269639015197754,1,-4,11
58,20.059999465942383,7,-1,30.5
59,54.761638641357422,33,7.5,93
60,132.11968994140625,100,35,223
61,262.45358276367188,206,88,441
62,435.45523071289062,337,158,739
63,628.857666015625,476.5,233,1069
64,822.76947021484375,613,304,1399
65,1005.3984375,741,370.5,1710
66,1171.3570556640625,858.5,430,1993.7200000000012
67,1318.2501220703125,960,482,2245
68,1445.049072265625,1049,527,2464
69,1551.8377685546875,1122,564,2646
70,1639.6573486328125,1185,595.5,2795
71,1710.3287353515625,1233.5,621,2915
72,1766.045654296875,1274,641,3009.5
73,1809.037353515625,1304,657,3079.2200000000012
74,1841.62548828125,1327,669,3132.5
75,1865.850341796875,1344,678,3170
76,1883.3863525390625,1357,685,3199.4400000000023
77,1895.7025146484375,1366,690.5,3222
78,1904.1142578125,1372,694,3236
79,1910.1993408203125,1377,696.5,3245
80,1916.1292724609375,1383.5,700,3253
81,1924.2791748046875,1391.5,704,3266.2200000000012
82,1935.714111328125,1401,708.5,3284.4400000000023
83,1949.6331787109375,1411,714,3306
84,1964.436279296875,1424,719,3331
85,1978.5775146484375,1435.5,724,3353.2200000000012
86,1990.9871826171875,1445,728,3374.5
87,2001.1025390625,1450.5,731,3391
88,2008.6734619140625,1456,733,3403
89,2013.58935546875,1459,735,3412.4400000000023
90,2015.8609619140625,1461,736.5,3415
91,2015.61865234375,1461,736.7800000000002,3413
92,2013.1148681640625,1459,735.5,3410.2200000000012
93,2008.703369140625,1456,734,3404
94,2002.637939453125,1451,732.5,3397
95,1995.169677734375,1445.5,730,3384
96,1986.63525390625,1438.5,727,3369.7200000000012
97,1977.218017578125,1432,723,3354
98,1967.146240234375,1426,720,3337
99,1956.6175537109375,1418,716,3319
100,1945.8818359375,1412,713,3298
101,1935.1092529296875,1404,709,3279.7200000000012
102,1924.5396728515625,1397,704.5,3261.4400000000023
103,1914.2275390625,1389,701,3247
104,1904.064453125,1381,697,3227.2200000000012
105,1893.942626953125,1374,693,3208
106,1883.6973876953125,1366,689,3190
107,1873.1676025390625,1358,685,3173
108,1862.325927734375,1350,681,3155
109,1851.1378173828125,1341.5,678,3133.2200000000012
110,1839.590087890625,1333,673.7800000000002,3114.5
111,1827.6561279296875,1325,669.5,3093.2200000000012
112,1815.3916015625,1315,665,3071
113,1802.8314208984375,1306,661,3049
114,1790.0196533203125,1297,655.7800000000002,3026
115,1776.9959716796875,1287,650,3004.4400000000023
116,1763.8028564453125,1278,645,2984
117,1750.4881591796875,1268,640,2964
118,1737.0853271484375,1258,635.5,2940
119,1723.5849609375,1247,630,2915
120,1710.00390625,1238,625,2893.7200000000012
121,1696.3502197265625,1227.5,619,2868.2200000000012
122,1682.674560546875,1219,614,2845
123,1668.990966796875,1208.5,609,2822
124,1655.346923828125,1198,604,2798
125,1641.6964111328125,1188,599,2774.4400000000023
126,1628.063232421875,1178,594,2751
127,1614.4468994140625,1169,589,2728.5
128,1600.84814453125,1159,583,2706.2200000000012
129,1587.23486328125,1149,578,2684
130,1573.6392822265625,1139,572,2661
131,1560.0478515625,1130,567.5,2637
132,1546.466796875,1120,562,2615
133,1532.8367919921875,1110,557,2590.4400000000023
134,1519.1722412109375,1100,552,2567.4400000000023
135,1505.5262451171875,1089,547,2545
136,1491.8814697265625,1078,541,2523
137,1478.2261962890625,1068.5,535.5,2501
138,1464.62255859375,1059,531,2477.7200000000012
139,1451.0389404296875,1049,525,2455
140,1437.4735107421875,1040.5,520,2431
141,1423.9620361328125,1031,515,2408
142,1410.4774169921875,1022,510,2385.2200000000012
143,1397.0859375,1011.5,505,2361.5
144,1383.744873046875,1002.5,500,2339
145,1370.4925537109375,992,495,2315.7200000000012
146,1357.32373046875,982,490,2293
147,1344.224853515625,972,485,2270
148,1331.19189453125,963,480.5,2247
149,1318.25830078125,954,475.7800000000002,2224.2200000000012
150,1305.4210205078125,945,471,2203.7200000000012
151,1292.6884765625,935.5,466.7800000000002,2183.4400000000023
