event,channel,waveform_index_save,dt_ns_coinc,dt_ns_save,minimum_timestamp_coinc,channel_coincident_left,waveform_index_coincident_left,channel_coincident_right,waveform_index_coincident_right
1,2080,280,16,0,109893647574144832,2031,352,2061,478
1,2081,315,32,0,109893647574144832,2030,108,2061,478
2,2080,288,32,0,109893647577246096,2030,457,2060,109
2,2080,310,112,80,109893647577637248,2030,486,2060,129
2,2081,430,48,-16,109893647577246096,2031,57,2060,109
2,2081,448,112,48,109893647577637248,2030,486,2060,129
3,2080,317,0,-64,109893647580276672,2031,169,2060,133
3,2080,324,48,-48,109893647580414560,2030,521,2060,140
3,2080,325,64,16,109893647580460032,2030,526,2060,142
3,2080,328,48,-16,109893647580512096,2030,528,2060,147
3,2080,342,16,0,109893647580676976,2031,202,2060,159
3,2080,346,32,-16,109893647580757808,2031,213,2060,165
3,2081,51,0,-48,109893647580276672,2031,169,2060,133
3,2081,57,48,-32,109893647580414560,2030,521,2060,140
3,2081,58,64,0,109893647580460032,2030,526,2060,142
3,2081,61,48,-64,109893647580512096,2030,528,2060,147
3,2081,65,64,32,109893647580562192,2030,533,2060,151
3,2081,75,16,-16,109893647580676976,2031,202,2060,159
3,2081,79,32,16,109893647580757808,2031,213,2060,165
4,2080,577,48,0,109893647583500272,2030,188,2061,224
4,2080,581,32,0,109893647583556880,2030,192,2060,316
4,2080,582,80,16,109893647583581776,2030,193,2060,317
4,2080,588,0,-16,109893647583698384,2030,200,2060,330
4,2080,594,80,-16,109893647583832128,2030,210,2060,337
4,2080,598,80,16,109893647583913040,2031,299,2060,343
4,2081,128,48,-16,109893647583500272,2030,188,2061,224
4,2081,132,48,-16,109893647583556880,2031,269,2060,316
4,2081,134,32,0,109893647583581776,2031,272,2060,317
4,2081,140,0,-16,109893647583698384,2030,200,2060,330
4,2081,142,80,-16,109893647583733360,2031,285,2060,332
4,2081,145,80,16,109893647583832128,2030,210,2060,337
4,2081,149,80,-16,109893647583913040,2031,299,2060,343
5,2080,278,32,-32,109893647586657952,2031,419,2060,379
5,2080,281,64,0,109893647586741680,2030,350,2060,383
5,2080,282,32,-48,109893647586750192,2030,351,2060,384
5,2081,455,32,-16,109893647586657952,2031,419,2060,379
5,2081,458,64,-16,109893647586741680,2030,350,2060,383
5,2081,460,32,-64,109893647586750192,2030,351,2060,384
5,2081,469,112,0,109893647587048176,2030,365,2060,406
6,2080,496,32,0,109893647589744640,2031,165,2060,206
6,2080,498,48,0,109893647589934496,2031,175,2060,219
6,2080,504,16,-64,109893647589999680,2031,179,2060,227
6,2080,512,48,0,109893647590132224,2031,189,2060,236
6,2080,519,64,0,109893647590260368,2030,159,2060,238
6,2081,325,112,32,109893647589744640,2030,126,2060,206
6,2081,327,48,-16,109893647589934496,2031,175,2060,219
